,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2018-12-31-01,150,30,30,20,80,50,70,20,20,290,360,350,340,330,0,20,250,40,360,350,340,20,30,30
2018-12-31-02,230,20,40,20,110,50,70,30,260,310,360,350,360,290,250,20,250,20,360,340,340,350,30,30
2018-12-31-03,-999,20,340,10,100,50,50,30,250,300,350,10,10,10,250,20,250,30,360,340,330,10,40,20
2018-12-31-04,270,10,30,10,100,50,50,30,260,290,350,340,30,80,210,360,250,30,10,340,320,360,30,10
2018-12-31-05,-999,20,40,20,100,50,0,30,250,280,360,10,40,140,290,20,250,30,10,340,330,30,30,10
2018-12-31-06,290,20,60,10,0,50,70,30,260,280,360,360,360,170,290,10,250,30,360,350,340,360,30,30
2018-12-31-07,150,20,40,30,90,60,50,50,270,280,360,40,320,140,220,20,250,30,360,340,340,350,30,30
2018-12-31-08,220,70,60,40,100,50,70,20,340,260,350,360,330,0,280,10,250,20,360,340,360,20,30,30
2018-12-31-09,140,20,50,30,90,50,70,30,270,300,360,360,330,310,310,10,250,20,360,340,350,10,30,30
2018-12-31-10,20,20,40,10,100,50,70,20,280,280,350,360,50,220,330,10,230,20,360,350,340,300,30,30
2018-12-31-11,280,20,50,30,110,50,60,30,360,280,350,360,60,0,360,20,250,20,350,340,30,360,30,30
2018-12-31-12,180,30,30,20,90,50,60,20,30,290,350,350,70,90,330,20,250,30,360,340,40,350,30,40
2018-12-31-13,330,20,20,30,80,50,80,20,240,270,350,350,60,340,340,10,240,30,360,350,50,350,30,30
2018-12-31-14,230,10,40,30,80,50,60,20,240,300,350,330,60,0,340,350,210,20,360,350,40,350,40,30
2018-12-31-15,80,10,40,30,80,50,70,20,230,270,350,340,50,250,20,10,250,20,350,330,30,350,30,30
2018-12-31-16,10,20,50,30,90,50,70,20,0,360,350,330,40,0,150,360,260,20,350,350,30,320,30,30
2018-12-31-17,250,20,30,30,100,50,80,30,40,60,350,340,60,140,0,10,260,20,350,340,30,350,30,40
2018-12-31-18,220,20,30,30,80,60,70,20,60,60,350,340,70,20,160,360,260,20,340,340,350,360,20,50
2018-12-31-19,180,30,40,40,80,60,70,20,50,60,350,320,70,90,0,360,270,20,360,340,340,350,20,50
2018-12-31-20,200,20,50,50,100,60,70,40,50,60,350,330,60,70,180,360,250,20,360,350,360,10,20,50
2018-12-31-21,180,40,50,50,90,60,70,40,50,60,360,330,60,100,190,10,250,20,360,360,340,20,20,40
2018-12-31-22,210,30,50,50,90,60,70,20,40,20,350,10,60,130,340,20,260,30,350,350,330,20,20,40
2018-12-31-23,200,10,50,40,90,60,70,30,30,20,350,300,50,190,330,360,230,20,360,350,340,350,30,40
2018-12-31-24,190,30,30,30,100,50,70,30,20,340,350,310,60,200,290,20,250,30,360,350,320,10,20,40
