,北京,上海,福州,廈門
2019-01-05-15,20.0,26.0,9.0,79.0
2019-01-05-16,26.0,35.0,14.0,67.0
2019-01-05-17,29.0,29.0,13.0,79.0
2019-01-05-18,41.0,37.0,12.0,94.0
2019-01-05-19,49.0,49.0,10.0,85.0
2019-01-05-20,56.0,66.0,13.0,68.0
2019-01-05-21,60.0,72.0,13.0,51.0
2019-01-05-22,59.0,-999.0,12.0,43.0
2019-01-05-23,72.0,-999.0,9.0,27.0
2019-01-06-00,83.0,-999.0,8.0,29.0
2019-01-06-01,73.0,47.0,12.0,34.0
2019-01-06-02,81.0,42.0,14.0,28.0
2019-01-06-03,89.0,36.0,15.0,26.0
2019-01-06-04,77.0,-999.0,16.0,23.0
2019-01-06-05,74.0,-999.0,17.0,16.0
2019-01-06-06,69.0,-999.0,19.0,26.0
2019-01-06-07,63.0,15.0,14.0,36.0
2019-01-06-08,56.0,20.0,16.0,21.0
2019-01-06-09,63.0,20.0,19.0,31.0
2019-01-06-10,64.0,19.0,23.0,35.0
2019-01-06-11,67.0,19.0,30.0,41.0
2019-01-06-12,77.0,20.0,23.0,40.0
2019-01-06-13,87.0,24.0,24.0,37.0
2019-01-06-14,96.0,31.0,21.0,42.0
2019-01-06-15,109.0,36.0,20.0,49.0
2019-01-06-16,117.0,37.0,23.0,53.0
2019-01-06-17,121.0,42.0,29.0,55.0
2019-01-06-18,126.0,45.0,27.0,52.0
2019-01-06-19,127.0,44.0,31.0,49.0
2019-01-06-20,127.0,43.0,35.0,48.0
2019-01-06-21,138.0,42.0,29.0,39.0
2019-01-06-22,130.0,36.0,25.0,33.0
2019-01-06-23,130.0,34.0,22.0,35.0
2019-01-07-00,123.0,32.0,20.0,34.0
2019-01-07-01,118.0,28.0,20.0,26.0
2019-01-07-02,115.0,28.0,22.0,25.0
2019-01-07-03,115.0,26.0,24.0,27.0
2019-01-07-04,112.0,28.0,24.0,25.0
2019-01-07-05,93.0,27.0,24.0,22.0
2019-01-07-06,83.0,27.0,20.0,19.0
2019-01-07-07,67.0,32.0,20.0,17.0
2019-01-07-08,59.0,36.0,23.0,19.0
2019-01-07-09,57.0,39.0,26.0,24.0
2019-01-07-10,48.0,41.0,38.0,25.0
2019-01-07-11,35.0,41.0,30.0,25.0
2019-01-07-12,35.0,41.0,24.0,24.0
2019-01-07-13,26.0,40.0,25.0,30.0
2019-01-07-14,28.0,38.0,27.0,42.0
2019-01-07-15,28.0,36.0,37.0,46.0
2019-01-07-16,31.0,39.0,39.0,46.0
2019-01-07-17,29.0,37.0,39.0,50.0
2019-01-07-18,37.0,35.0,42.0,43.0
2019-01-07-19,42.0,36.0,59.0,40.0
2019-01-07-20,42.0,28.0,63.0,44.0
2019-01-07-21,38.0,24.0,62.0,51.0
2019-01-07-22,29.0,23.0,73.0,50.0
2019-01-07-23,30.0,19.0,76.0,43.0
2019-01-08-00,23.0,20.0,69.0,43.0
2019-01-08-01,23.0,21.0,59.0,52.0
2019-01-08-02,24.0,19.0,57.0,58.0
2019-01-08-03,24.0,21.0,59.0,58.0
2019-01-08-04,24.0,29.0,51.0,66.0
2019-01-08-05,24.0,23.0,55.0,64.0
2019-01-08-06,24.0,29.0,59.0,70.0
2019-01-08-07,26.0,30.0,60.0,89.0
2019-01-08-08,28.0,35.0,44.0,93.0
2019-01-08-09,31.0,42.0,43.0,88.0
2019-01-08-10,26.0,46.0,33.0,51.0
2019-01-08-11,20.0,56.0,33.0,50.0
2019-01-08-12,15.0,60.0,23.0,57.0
2019-01-08-13,13.0,67.0,24.0,48.0
2019-01-08-14,12.0,60.0,26.0,42.0
2019-01-08-15,18.0,59.0,28.0,45.0
2019-01-08-16,20.0,85.0,28.0,50.0
2019-01-08-17,22.0,129.0,26.0,50.0
2019-01-08-18,31.0,153.0,32.0,48.0
2019-01-08-19,38.0,135.0,30.0,33.0
2019-01-08-20,43.0,99.0,24.0,34.0
2019-01-08-21,47.0,69.0,22.0,24.0
2019-01-08-22,49.0,51.0,19.0,19.0
2019-01-08-23,49.0,49.0,14.0,20.0
2019-01-09-00,51.0,48.0,16.0,31.0
2019-01-09-01,46.0,42.0,12.0,27.0
2019-01-09-02,49.0,36.0,12.0,22.0
2019-01-09-03,44.0,32.0,10.0,22.0
2019-01-09-04,42.0,34.0,8.0,17.0
2019-01-09-05,34.0,36.0,11.0,17.0
2019-01-09-06,33.0,38.0,8.0,23.0
2019-01-09-07,30.0,36.0,10.0,12.0
2019-01-09-08,34.0,33.0,12.0,16.0
2019-01-09-09,37.0,34.0,18.0,20.0
2019-01-09-10,40.0,38.0,23.0,32.0
2019-01-09-11,43.0,36.0,31.0,32.0
2019-01-09-12,45.0,28.0,35.0,27.0
2019-01-09-13,58.0,26.0,29.0,35.0
2019-01-09-14,72.0,19.0,28.0,45.0
2019-01-09-15,79.0,16.0,29.0,50.0
2019-01-09-16,97.0,15.0,30.0,57.0
2019-01-09-17,102.0,17.0,33.0,58.0
2019-01-09-18,99.0,17.0,31.0,56.0
2019-01-09-19,105.0,20.0,33.0,50.0
2019-01-09-20,100.0,20.0,30.0,45.0
2019-01-09-21,104.0,17.0,38.0,46.0
2019-01-09-22,103.0,15.0,33.0,37.0
2019-01-09-23,102.0,15.0,36.0,26.0
2019-01-10-00,110.0,15.0,41.0,26.0
2019-01-10-01,106.0,15.0,46.0,19.0
2019-01-10-02,92.0,17.0,40.0,32.0
2019-01-10-03,80.0,17.0,36.0,30.0
2019-01-10-04,76.0,15.0,31.0,31.0
2019-01-10-05,74.0,11.0,31.0,38.0
2019-01-10-06,71.0,12.0,35.0,49.0
2019-01-10-07,80.0,12.0,35.0,51.0
2019-01-10-08,88.0,15.0,39.0,70.0
2019-01-10-09,93.0,18.0,45.0,70.0
2019-01-10-10,107.0,19.0,49.0,73.0
2019-01-10-11,106.0,20.0,51.0,70.0
2019-01-10-12,110.0,22.0,49.0,63.0
2019-01-10-13,113.0,24.0,45.0,56.0
2019-01-10-14,105.0,27.0,49.0,64.0
2019-01-10-15,109.0,29.0,62.0,53.0
2019-01-10-16,119.0,25.0,70.0,57.0
2019-01-10-17,119.0,23.0,68.0,62.0
2019-01-10-18,134.0,26.0,64.0,45.0
2019-01-10-19,147.0,23.0,58.0,27.0
2019-01-10-20,163.0,20.0,58.0,30.0
2019-01-10-21,173.0,17.0,56.0,29.0
2019-01-10-22,184.0,17.0,67.0,32.0
2019-01-10-23,170.0,17.0,61.0,33.0
2019-01-11-00,161.0,15.0,55.0,34.0
2019-01-11-01,188.0,13.0,60.0,38.0
2019-01-11-02,184.0,12.0,61.0,43.0
2019-01-11-03,145.0,11.0,62.0,48.0
2019-01-11-04,92.0,13.0,60.0,48.0
2019-01-11-05,95.0,13.0,58.0,57.0
2019-01-11-06,79.0,12.0,57.0,55.0
2019-01-11-07,77.0,13.0,49.0,55.0
2019-01-11-08,88.0,12.0,55.0,69.0
2019-01-11-09,117.0,14.0,54.0,64.0
2019-01-11-10,116.0,16.0,58.0,71.0
2019-01-11-11,98.0,18.0,60.0,84.0
2019-01-11-12,98.0,16.0,65.0,80.0
2019-01-11-13,101.0,15.0,69.0,76.0
2019-01-11-14,97.0,20.0,54.0,77.0
2019-01-11-15,93.0,26.0,68.0,88.0
2019-01-11-16,84.0,26.0,86.0,75.0
2019-01-11-17,103.0,25.0,85.0,62.0
2019-01-11-18,118.0,24.0,67.0,65.0
2019-01-11-19,129.0,19.0,62.0,75.0
2019-01-11-20,152.0,22.0,64.0,77.0
2019-01-11-21,187.0,18.0,50.0,71.0
2019-01-11-22,216.0,12.0,50.0,65.0
2019-01-11-23,231.0,11.0,52.0,52.0
2019-01-12-00,218.0,11.0,57.0,74.0
2019-01-12-01,177.0,13.0,69.0,44.0
2019-01-12-02,179.0,13.0,74.0,36.0
2019-01-12-03,174.0,16.0,84.0,21.0
2019-01-12-04,187.0,18.0,83.0,23.0
2019-01-12-05,183.0,18.0,79.0,36.0
2019-01-12-06,169.0,22.0,74.0,32.0
2019-01-12-07,136.0,28.0,71.0,29.0
2019-01-12-08,119.0,36.0,61.0,46.0
2019-01-12-09,123.0,34.0,43.0,44.0
2019-01-12-10,121.0,40.0,57.0,65.0
2019-01-12-11,126.0,43.0,54.0,106.0
2019-01-12-12,125.0,47.0,60.0,72.0
2019-01-12-13,137.0,44.0,49.0,70.0
2019-01-12-14,138.0,57.0,22.0,94.0
2019-01-12-15,162.0,63.0,14.0,93.0
2019-01-12-16,195.0,61.0,19.0,73.0
2019-01-12-17,236.0,62.0,25.0,63.0
2019-01-12-18,291.0,69.0,24.0,43.0
2019-01-12-19,352.0,74.0,24.0,38.0
2019-01-12-20,430.0,70.0,28.0,40.0
2019-01-12-21,432.0,74.0,31.0,36.0
2019-01-12-22,451.0,67.0,28.0,33.0
2019-01-12-23,441.0,59.0,23.0,35.0
2019-01-13-00,444.0,57.0,26.0,38.0
2019-01-13-01,418.0,55.0,22.0,35.0
2019-01-13-02,388.0,59.0,19.0,43.0
2019-01-13-03,381.0,63.0,23.0,47.0
2019-01-13-04,341.0,63.0,22.0,37.0
2019-01-13-05,297.0,-999.0,23.0,25.0
2019-01-13-06,223.0,-999.0,26.0,27.0
2019-01-13-07,159.0,-999.0,31.0,23.0
2019-01-13-08,58.0,-999.0,36.0,23.0
2019-01-13-09,88.0,-999.0,38.0,35.0
2019-01-13-10,42.0,74.0,39.0,47.0
2019-01-13-11,30.0,82.0,42.0,61.0
2019-01-13-12,22.0,86.0,42.0,61.0
2019-01-13-13,19.0,91.0,42.0,63.0
2019-01-13-14,15.0,-999.0,55.0,64.0
2019-01-13-15,19.0,79.0,58.0,60.0
2019-01-13-16,19.0,82.0,54.0,55.0
2019-01-13-17,18.0,98.0,55.0,54.0
2019-01-13-18,57.0,98.0,47.0,53.0
2019-01-13-19,94.0,97.0,42.0,60.0
2019-01-13-20,115.0,102.0,40.0,62.0
2019-01-13-21,128.0,112.0,35.0,56.0
2019-01-13-22,135.0,113.0,31.0,43.0
2019-01-13-23,162.0,105.0,35.0,41.0
2019-01-14-00,175.0,103.0,24.0,40.0
2019-01-14-01,184.0,104.0,28.0,43.0
2019-01-14-02,167.0,99.0,33.0,41.0
2019-01-14-03,149.0,94.0,44.0,42.0
2019-01-14-04,131.0,88.0,38.0,38.0
2019-01-14-05,121.0,89.0,35.0,42.0
2019-01-14-06,123.0,88.0,29.0,42.0
2019-01-14-07,99.0,88.0,21.0,41.0
2019-01-14-08,74.0,97.0,26.0,36.0
2019-01-14-09,88.0,103.0,37.0,37.0
2019-01-14-10,107.0,98.0,41.0,35.0
2019-01-14-11,139.0,88.0,48.0,29.0
2019-01-14-12,135.0,74.0,50.0,21.0
2019-01-14-13,169.0,42.0,47.0,24.0
2019-01-14-14,181.0,47.0,54.0,21.0
2019-01-14-15,193.0,45.0,62.0,20.0
2019-01-14-16,214.0,49.0,67.0,38.0
2019-01-14-17,215.0,54.0,68.0,49.0
2019-01-14-18,170.0,66.0,70.0,61.0
2019-01-14-19,117.0,73.0,68.0,61.0
2019-01-14-20,98.0,74.0,69.0,64.0
2019-01-14-21,203.0,73.0,60.0,62.0
2019-01-14-22,176.0,70.0,55.0,63.0
2019-01-14-23,148.0,67.0,54.0,72.0
2019-01-15-00,151.0,71.0,53.0,57.0
2019-01-15-01,121.0,75.0,50.0,49.0
2019-01-15-02,71.0,-999.0,61.0,60.0
2019-01-15-03,64.0,-999.0,57.0,41.0
2019-01-15-04,115.0,-999.0,57.0,42.0
2019-01-15-05,83.0,-999.0,54.0,34.0
2019-01-15-06,53.0,83.0,55.0,28.0
2019-01-15-07,50.0,89.0,54.0,31.0
2019-01-15-08,53.0,-999.0,55.0,33.0
2019-01-15-09,56.0,86.0,66.0,32.0
2019-01-15-10,60.0,-999.0,75.0,41.0
2019-01-15-11,55.0,-999.0,69.0,51.0
2019-01-15-12,37.0,118.0,64.0,41.0
2019-01-15-13,38.0,143.0,68.0,34.0
2019-01-15-14,33.0,170.0,63.0,35.0
2019-01-15-15,38.0,179.0,67.0,36.0
2019-01-15-16,42.0,162.0,71.0,40.0
2019-01-15-17,42.0,180.0,73.0,53.0
2019-01-15-18,46.0,187.0,51.0,66.0
2019-01-15-19,46.0,170.0,35.0,76.0
2019-01-15-20,43.0,170.0,23.0,62.0
2019-01-15-21,48.0,101.0,13.0,60.0
2019-01-15-22,55.0,52.0,11.0,49.0
2019-01-15-23,56.0,44.0,16.0,33.0
2019-01-16-00,58.0,43.0,10.0,23.0
2019-01-16-01,65.0,39.0,11.0,23.0
2019-01-16-02,83.0,37.0,14.0,15.0
2019-01-16-03,81.0,35.0,14.0,16.0
2019-01-16-04,76.0,32.0,13.0,16.0
2019-01-16-05,68.0,32.0,16.0,15.0
2019-01-16-06,64.0,36.0,15.0,16.0
2019-01-16-07,79.0,38.0,17.0,20.0
2019-01-16-08,82.0,45.0,19.0,23.0
2019-01-16-09,79.0,54.0,17.0,29.0
2019-01-16-10,70.0,51.0,18.0,32.0
2019-01-16-11,59.0,53.0,21.0,38.0
2019-01-16-12,49.0,50.0,19.0,43.0
2019-01-16-13,49.0,51.0,19.0,37.0
2019-01-16-14,45.0,63.0,19.0,37.0
2019-01-16-15,40.0,70.0,24.0,43.0
2019-01-16-16,48.0,77.0,29.0,44.0
2019-01-16-17,48.0,86.0,32.0,46.0
2019-01-16-18,59.0,85.0,35.0,40.0
2019-01-16-19,87.0,84.0,36.0,29.0
2019-01-16-20,88.0,81.0,35.0,24.0
2019-01-16-21,96.0,82.0,34.0,21.0
2019-01-16-22,104.0,86.0,32.0,17.0
2019-01-16-23,117.0,85.0,34.0,17.0
2019-01-17-00,116.0,82.0,37.0,17.0
2019-01-17-01,99.0,83.0,38.0,21.0
2019-01-17-02,103.0,87.0,38.0,20.0
2019-01-17-03,91.0,92.0,33.0,22.0
2019-01-17-04,74.0,94.0,33.0,37.0
2019-01-17-05,67.0,96.0,32.0,43.0
2019-01-17-06,58.0,100.0,32.0,52.0
2019-01-17-07,61.0,108.0,28.0,53.0
2019-01-17-08,66.0,117.0,25.0,55.0
2019-01-17-09,63.0,140.0,31.0,62.0
2019-01-17-10,55.0,133.0,30.0,64.0
2019-01-17-11,50.0,125.0,34.0,69.0
2019-01-17-12,38.0,117.0,39.0,76.0
2019-01-17-13,35.0,109.0,41.0,70.0
2019-01-17-14,34.0,109.0,45.0,57.0
2019-01-17-15,39.0,110.0,55.0,66.0
2019-01-17-16,57.0,116.0,60.0,72.0
2019-01-17-17,59.0,131.0,52.0,63.0
2019-01-17-18,72.0,138.0,56.0,56.0
2019-01-17-19,98.0,150.0,55.0,53.0
2019-01-17-20,110.0,154.0,54.0,58.0
2019-01-17-21,120.0,149.0,55.0,63.0
2019-01-17-22,128.0,146.0,57.0,66.0
2019-01-17-23,132.0,149.0,48.0,68.0
2019-01-18-00,131.0,124.0,46.0,66.0
2019-01-18-01,117.0,118.0,48.0,67.0
2019-01-18-02,103.0,116.0,49.0,57.0
2019-01-18-03,96.0,113.0,47.0,58.0
2019-01-18-04,92.0,109.0,49.0,51.0
2019-01-18-05,100.0,106.0,49.0,42.0
2019-01-18-06,103.0,106.0,56.0,38.0
2019-01-18-07,100.0,116.0,52.0,38.0
2019-01-18-08,101.0,130.0,56.0,43.0
2019-01-18-09,109.0,135.0,62.0,52.0
2019-01-18-10,112.0,130.0,67.0,63.0
2019-01-18-11,102.0,124.0,67.0,69.0
2019-01-18-12,96.0,122.0,67.0,66.0
2019-01-18-13,83.0,119.0,67.0,62.0
2019-01-18-14,76.0,90.0,69.0,62.0
2019-01-18-15,80.0,80.0,68.0,62.0
2019-01-18-16,99.0,85.0,67.0,73.0
2019-01-18-17,100.0,90.0,66.0,70.0
2019-01-18-18,121.0,88.0,67.0,73.0
2019-01-18-19,129.0,86.0,74.0,74.0
2019-01-18-20,139.0,88.0,95.0,73.0
2019-01-18-21,140.0,80.0,87.0,75.0
2019-01-18-22,149.0,72.0,76.0,78.0
2019-01-18-23,119.0,64.0,79.0,72.0
2019-01-19-00,64.0,61.0,75.0,68.0
2019-01-19-01,41.0,57.0,71.0,69.0
2019-01-19-02,37.0,55.0,66.0,66.0
2019-01-19-03,34.0,53.0,62.0,71.0
2019-01-19-04,28.0,52.0,57.0,83.0
2019-01-19-05,26.0,50.0,62.0,95.0
2019-01-19-06,24.0,55.0,66.0,93.0
2019-01-19-07,26.0,62.0,63.0,105.0
2019-01-19-08,26.0,68.0,64.0,98.0
2019-01-19-09,32.0,78.0,79.0,103.0
2019-01-19-10,36.0,90.0,84.0,109.0
2019-01-19-11,39.0,93.0,74.0,70.0
2019-01-19-12,32.0,98.0,71.0,71.0
2019-01-19-13,25.0,100.0,64.0,66.0
2019-01-19-14,23.0,108.0,61.0,74.0
2019-01-19-15,25.0,101.0,62.0,82.0
2019-01-19-16,29.0,103.0,66.0,73.0
2019-01-19-17,32.0,107.0,72.0,60.0
2019-01-19-18,37.0,119.0,79.0,57.0
2019-01-19-19,46.0,132.0,73.0,53.0
2019-01-19-20,46.0,140.0,80.0,49.0
2019-01-19-21,42.0,137.0,85.0,50.0
2019-01-19-22,41.0,136.0,82.0,53.0
2019-01-19-23,33.0,141.0,93.0,53.0
2019-01-20-00,25.0,146.0,101.0,58.0
2019-01-20-01,19.0,152.0,111.0,72.0
2019-01-20-02,23.0,162.0,109.0,79.0
2019-01-20-03,21.0,154.0,86.0,84.0
2019-01-20-04,22.0,-999.0,97.0,89.0
2019-01-20-05,21.0,-999.0,84.0,97.0
2019-01-20-06,22.0,-999.0,78.0,104.0
2019-01-20-07,27.0,132.0,72.0,100.0
2019-01-20-08,26.0,149.0,85.0,110.0
2019-01-20-09,26.0,150.0,101.0,116.0
2019-01-20-10,27.0,146.0,108.0,109.0
2019-01-20-11,27.0,-999.0,93.0,103.0
2019-01-20-12,22.0,101.0,85.0,107.0
2019-01-20-13,29.0,100.0,78.0,101.0
2019-01-20-14,29.0,111.0,86.0,76.0
2019-01-20-15,29.0,93.0,77.0,63.0
2019-01-20-16,26.0,53.0,65.0,61.0
2019-01-20-17,27.0,35.0,64.0,66.0
2019-01-20-18,30.0,29.0,61.0,89.0
2019-01-20-19,34.0,27.0,54.0,88.0
2019-01-20-20,45.0,24.0,49.0,83.0
2019-01-20-21,50.0,29.0,-999.0,75.0
2019-01-20-22,72.0,25.0,-999.0,90.0
2019-01-20-23,79.0,29.0,-999.0,82.0
2019-01-21-00,86.0,33.0,-999.0,83.0
2019-01-21-01,78.0,31.0,-999.0,82.0
2019-01-21-02,72.0,30.0,-999.0,87.0
2019-01-21-03,70.0,32.0,-999.0,70.0
2019-01-21-04,54.0,30.0,-999.0,68.0
2019-01-21-05,41.0,33.0,-999.0,68.0
2019-01-21-06,42.0,46.0,-999.0,69.0
2019-01-21-07,47.0,58.0,-999.0,69.0
2019-01-21-08,63.0,67.0,-999.0,75.0
2019-01-21-09,67.0,64.0,-999.0,81.0
2019-01-21-10,56.0,66.0,-999.0,78.0
2019-01-21-11,54.0,57.0,66.0,81.0
2019-01-21-12,40.0,60.0,71.0,81.0
2019-01-21-13,39.0,70.0,65.0,58.0
2019-01-21-14,37.0,70.0,64.0,42.0
2019-01-21-15,35.0,70.0,66.0,50.0
2019-01-21-16,39.0,81.0,62.0,30.0
2019-01-21-17,46.0,77.0,66.0,49.0
2019-01-21-18,59.0,78.0,65.0,61.0
2019-01-21-19,69.0,89.0,73.0,73.0
2019-01-21-20,80.0,101.0,70.0,88.0
2019-01-21-21,94.0,106.0,80.0,96.0
2019-01-21-22,95.0,105.0,71.0,96.0
2019-01-21-23,97.0,109.0,75.0,96.0
2019-01-22-00,96.0,106.0,78.0,90.0
2019-01-22-01,89.0,103.0,75.0,94.0
2019-01-22-02,77.0,100.0,74.0,97.0
2019-01-22-03,71.0,93.0,-999.0,89.0
2019-01-22-04,52.0,87.0,70.0,85.0
2019-01-22-05,45.0,87.0,82.0,85.0
2019-01-22-06,43.0,95.0,86.0,86.0
2019-01-22-07,51.0,107.0,85.0,87.0
2019-01-22-08,72.0,121.0,76.0,83.0
2019-01-22-09,85.0,123.0,71.0,83.0
2019-01-22-10,77.0,120.0,65.0,68.0
2019-01-22-11,77.0,113.0,63.0,37.0
2019-01-22-12,67.0,103.0,58.0,33.0
2019-01-22-13,59.0,101.0,56.0,41.0
2019-01-22-14,56.0,109.0,48.0,39.0
2019-01-22-15,58.0,102.0,46.0,58.0
2019-01-22-16,57.0,91.0,61.0,79.0
2019-01-22-17,58.0,83.0,83.0,77.0
2019-01-22-18,63.0,96.0,77.0,81.0
2019-01-22-19,83.0,106.0,79.0,75.0
2019-01-22-20,85.0,109.0,83.0,80.0
2019-01-22-21,91.0,111.0,81.0,90.0
2019-01-22-22,95.0,116.0,86.0,99.0
2019-01-22-23,102.0,119.0,85.0,96.0
2019-01-23-00,100.0,115.0,83.0,95.0
2019-01-23-01,85.0,121.0,71.0,98.0
2019-01-23-02,65.0,123.0,87.0,101.0
2019-01-23-03,58.0,114.0,69.0,84.0
2019-01-23-04,49.0,112.0,65.0,81.0
2019-01-23-05,37.0,108.0,62.0,77.0
2019-01-23-06,35.0,109.0,62.0,84.0
2019-01-23-07,37.0,116.0,63.0,89.0
2019-01-23-08,46.0,120.0,64.0,89.0
2019-01-23-09,50.0,123.0,64.0,91.0
2019-01-23-10,46.0,122.0,70.0,80.0
2019-01-23-11,34.0,115.0,70.0,72.0
2019-01-23-12,30.0,99.0,60.0,57.0
2019-01-23-13,26.0,90.0,60.0,53.0
2019-01-23-14,23.0,84.0,61.0,56.0
2019-01-23-15,23.0,75.0,61.0,62.0
2019-01-23-16,29.0,73.0,63.0,72.0
2019-01-23-17,35.0,83.0,87.0,79.0
2019-01-23-18,47.0,100.0,78.0,85.0
2019-01-23-19,73.0,120.0,89.0,83.0
2019-01-23-20,96.0,135.0,82.0,79.0
2019-01-23-21,83.0,139.0,93.0,73.0
2019-01-23-22,74.0,140.0,90.0,78.0
2019-01-23-23,89.0,145.0,79.0,84.0
2019-01-24-00,103.0,151.0,88.0,86.0
2019-01-24-01,81.0,143.0,81.0,77.0
2019-01-24-02,68.0,138.0,81.0,73.0
2019-01-24-03,65.0,129.0,74.0,71.0
