,北京,上海,福州,廈門
2019-01-05-15,11.68,27.08,19.12,19.65
2019-01-05-16,13.81,24.43,20.71,17.52
2019-01-05-17,18.05,25.49,22.3,22.83
2019-01-05-18,25.49,29.74,24.43,27.61
2019-01-05-19,32.92,30.27,25.49,22.83
2019-01-05-20,33.98,30.27,23.9,28.67
2019-01-05-21,35.58,31.33,22.83,30.27
2019-01-05-22,33.98,26.55,21.24,27.08
2019-01-05-23,36.64,23.9,20.71,24.43
2019-01-06-00,37.17,22.83,21.77,18.05
2019-01-06-01,33.45,24.43,22.3,14.34
2019-01-06-02,36.64,21.24,22.3,13.28
2019-01-06-03,35.58,16.99,21.24,16.46
2019-01-06-04,33.45,13.81,18.58,18.58
2019-01-06-05,34.52,11.68,17.52,18.58
2019-01-06-06,33.98,12.21,17.52,22.83
2019-01-06-07,31.86,15.4,18.05,22.83
2019-01-06-08,29.74,19.65,17.52,18.58
2019-01-06-09,29.74,20.71,18.05,16.46
2019-01-06-10,30.8,20.18,18.05,17.52
2019-01-06-11,32.39,19.65,18.58,18.05
2019-01-06-12,33.98,19.12,18.58,18.58
2019-01-06-13,36.64,21.77,19.65,15.4
2019-01-06-14,36.64,24.96,16.99,16.46
2019-01-06-15,39.29,28.67,15.4,18.58
2019-01-06-16,39.29,32.39,16.99,20.18
2019-01-06-17,41.95,36.11,18.05,22.83
2019-01-06-18,43.54,35.58,20.18,25.49
2019-01-06-19,45.14,32.92,21.24,24.43
2019-01-06-20,44.6,33.98,20.18,19.65
2019-01-06-21,45.67,29.74,19.65,21.77
2019-01-06-22,44.6,24.43,19.12,21.77
2019-01-06-23,43.54,21.24,16.99,22.3
2019-01-07-00,42.48,20.71,13.28,16.99
2019-01-07-01,40.89,21.24,12.21,12.21
2019-01-07-02,39.83,22.3,11.68,10.09
2019-01-07-03,40.36,26.02,12.21,11.15
2019-01-07-04,39.29,31.86,11.68,12.21
2019-01-07-05,36.64,29.74,11.15,12.21
2019-01-07-06,35.58,23.36,9.03,12.74
2019-01-07-07,32.92,26.02,10.09,14.34
2019-01-07-08,33.45,32.92,14.34,18.58
2019-01-07-09,28.14,29.74,15.93,20.71
2019-01-07-10,19.65,27.08,18.58,18.05
2019-01-07-11,12.74,25.49,16.46,14.34
2019-01-07-12,10.09,23.36,15.4,13.28
2019-01-07-13,7.97,25.49,14.34,12.21
2019-01-07-14,8.5,30.27,14.87,13.28
2019-01-07-15,9.56,35.05,18.58,21.77
2019-01-07-16,10.62,36.64,19.65,24.43
2019-01-07-17,13.81,31.86,20.18,20.18
2019-01-07-18,19.12,28.67,22.83,21.24
2019-01-07-19,21.77,27.61,28.14,19.12
2019-01-07-20,23.36,21.24,29.74,20.71
2019-01-07-21,20.71,20.18,27.08,22.83
2019-01-07-22,18.05,21.24,27.61,24.43
2019-01-07-23,18.58,21.24,28.67,22.83
2019-01-08-00,15.4,20.71,26.55,22.3
2019-01-08-01,11.68,18.58,24.96,24.96
2019-01-08-02,10.09,16.46,23.36,27.61
2019-01-08-03,7.43,15.4,23.36,30.8
2019-01-08-04,7.43,15.93,21.24,31.33
2019-01-08-05,8.5,20.18,20.18,30.27
2019-01-08-06,9.56,23.36,20.18,32.39
2019-01-08-07,12.74,24.43,20.71,32.92
2019-01-08-08,14.87,27.08,21.24,29.74
2019-01-08-09,12.74,26.02,21.24,21.77
2019-01-08-10,10.62,23.9,19.65,19.12
2019-01-08-11,7.43,22.3,19.65,20.71
2019-01-08-12,6.37,22.3,18.58,19.65
2019-01-08-13,5.31,20.71,17.52,16.46
2019-01-08-14,5.31,20.71,16.99,15.93
2019-01-08-15,4.78,20.18,18.05,16.46
2019-01-08-16,6.37,21.77,19.65,16.99
2019-01-08-17,9.56,28.14,19.12,17.52
2019-01-08-18,19.65,30.27,23.36,16.99
2019-01-08-19,26.55,27.61,21.24,17.52
2019-01-08-20,29.74,27.08,18.58,15.4
2019-01-08-21,31.86,20.71,19.12,15.4
2019-01-08-22,30.8,19.12,17.52,13.81
2019-01-08-23,30.8,18.58,15.4,15.4
2019-01-09-00,31.33,18.58,15.93,14.34
2019-01-09-01,30.27,18.58,12.21,14.34
2019-01-09-02,31.86,16.46,11.15,12.21
2019-01-09-03,31.86,15.4,9.03,11.15
2019-01-09-04,33.98,18.05,9.03,9.03
2019-01-09-05,31.86,16.46,11.15,10.09
2019-01-09-06,30.27,17.52,10.09,7.97
2019-01-09-07,28.67,21.77,10.62,7.97
2019-01-09-08,30.8,23.9,11.68,11.15
2019-01-09-09,28.14,23.9,11.68,12.21
2019-01-09-10,27.08,24.96,11.68,11.68
2019-01-09-11,26.02,26.55,12.21,10.09
2019-01-09-12,27.61,26.02,11.68,10.09
2019-01-09-13,29.74,24.96,12.74,10.09
2019-01-09-14,29.2,21.77,12.21,10.09
2019-01-09-15,28.14,21.24,12.74,11.68
2019-01-09-16,29.2,23.36,13.81,12.21
2019-01-09-17,29.74,26.55,14.34,15.93
2019-01-09-18,31.86,28.67,14.87,16.46
2019-01-09-19,33.45,28.67,16.46,15.4
2019-01-09-20,33.98,28.67,16.46,16.99
2019-01-09-21,35.58,28.14,19.12,20.18
2019-01-09-22,38.23,26.55,19.65,15.93
2019-01-09-23,38.76,28.14,21.24,14.87
2019-01-10-00,38.76,27.08,23.36,13.81
2019-01-10-01,38.76,24.43,23.9,16.99
2019-01-10-02,37.7,23.36,22.3,19.12
2019-01-10-03,37.17,22.83,24.43,17.52
2019-01-10-04,36.11,21.24,22.83,20.71
2019-01-10-05,35.05,22.3,20.71,23.9
2019-01-10-06,35.58,21.77,22.3,27.61
2019-01-10-07,36.11,26.55,24.43,27.61
2019-01-10-08,36.64,33.45,24.43,28.14
2019-01-10-09,35.58,32.92,23.9,27.61
2019-01-10-10,37.7,28.67,22.3,30.27
2019-01-10-11,39.83,27.61,21.77,31.33
2019-01-10-12,39.83,25.49,20.71,28.14
2019-01-10-13,38.76,27.08,16.99,31.86
2019-01-10-14,39.29,28.67,18.58,24.43
2019-01-10-15,36.11,29.74,24.43,16.46
2019-01-10-16,45.67,28.67,28.14,14.34
2019-01-10-17,48.85,27.08,29.2,14.34
2019-01-10-18,50.98,25.49,29.74,15.4
2019-01-10-19,50.44,21.24,27.08,14.87
2019-01-10-20,50.44,19.12,26.55,12.74
2019-01-10-21,50.98,23.36,27.08,13.28
2019-01-10-22,50.44,21.24,26.02,15.93
2019-01-10-23,47.79,19.65,24.96,15.4
2019-01-11-00,48.32,19.12,24.43,14.87
2019-01-11-01,48.85,22.83,24.96,18.05
2019-01-11-02,47.26,24.96,24.43,16.46
2019-01-11-03,44.6,26.55,23.36,20.18
2019-01-11-04,40.36,25.49,23.36,21.77
2019-01-11-05,37.7,24.43,22.3,18.58
2019-01-11-06,36.11,20.71,21.77,19.12
2019-01-11-07,36.11,24.43,21.77,18.58
2019-01-11-08,37.17,30.27,22.3,20.18
2019-01-11-09,40.36,29.74,22.83,19.65
2019-01-11-10,38.76,28.14,22.83,21.24
2019-01-11-11,34.52,26.55,23.36,24.96
2019-01-11-12,31.86,23.9,23.9,28.67
2019-01-11-13,29.74,24.43,26.02,28.67
2019-01-11-14,31.33,28.67,24.96,29.2
2019-01-11-15,31.86,35.58,29.74,30.27
2019-01-11-16,37.7,39.29,35.05,29.74
2019-01-11-17,45.14,38.76,29.2,30.27
2019-01-11-18,48.85,38.23,27.61,31.33
2019-01-11-19,50.98,37.17,26.02,29.2
2019-01-11-20,53.63,35.58,24.96,25.49
2019-01-11-21,54.16,33.45,23.9,24.43
2019-01-11-22,56.29,32.92,22.83,22.83
2019-01-11-23,55.76,30.8,22.3,20.71
2019-01-12-00,53.63,28.67,21.77,16.99
2019-01-12-01,51.51,27.61,21.77,17.52
2019-01-12-02,48.85,28.14,21.24,18.58
2019-01-12-03,51.51,26.02,21.77,18.05
2019-01-12-04,53.1,27.61,20.71,18.58
2019-01-12-05,53.1,26.55,20.71,25.49
2019-01-12-06,50.44,24.43,20.18,17.52
2019-01-12-07,46.2,26.02,20.18,19.12
2019-01-12-08,43.01,25.49,21.24,17.52
2019-01-12-09,40.36,23.9,20.18,20.71
2019-01-12-10,37.7,23.36,19.12,16.99
2019-01-12-11,38.23,22.83,19.65,15.4
2019-01-12-12,38.76,23.9,20.71,13.81
2019-01-12-13,38.23,23.9,20.71,13.81
2019-01-12-14,41.42,25.49,19.12,14.34
2019-01-12-15,49.38,28.67,20.71,16.99
2019-01-12-16,58.94,31.86,22.83,14.34
2019-01-12-17,67.97,34.52,25.49,11.68
2019-01-12-18,71.15,33.45,26.55,12.21
2019-01-12-19,71.68,32.39,25.49,15.4
2019-01-12-20,70.09,31.86,26.02,21.24
2019-01-12-21,67.44,30.8,24.96,25.49
2019-01-12-22,65.31,30.27,24.96,26.02
2019-01-12-23,64.78,29.74,24.96,24.96
2019-01-13-00,63.19,28.67,24.96,21.77
2019-01-13-01,61.6,25.49,23.9,19.65
2019-01-13-02,59.47,23.9,23.36,21.24
2019-01-13-03,55.76,22.3,23.36,19.12
2019-01-13-04,52.57,22.3,22.83,16.46
2019-01-13-05,44.6,19.65,22.3,14.34
2019-01-13-06,40.36,20.71,22.3,12.74
2019-01-13-07,38.23,24.43,21.77,14.87
2019-01-13-08,33.45,28.14,21.77,16.99
2019-01-13-09,29.74,27.61,20.18,16.99
2019-01-13-10,17.52,24.96,20.18,19.65
2019-01-13-11,12.74,24.96,19.12,19.65
2019-01-13-12,10.09,26.55,19.12,18.05
2019-01-13-13,7.97,27.61,21.24,16.99
2019-01-13-14,7.43,27.61,23.9,16.46
2019-01-13-15,8.5,29.74,25.49,15.4
2019-01-13-16,10.62,33.98,25.49,14.87
2019-01-13-17,16.99,40.89,25.49,15.4
2019-01-13-18,31.33,47.79,26.55,17.52
2019-01-13-19,42.48,46.73,23.36,19.65
2019-01-13-20,45.14,37.17,22.83,19.65
2019-01-13-21,47.26,33.98,21.77,15.4
2019-01-13-22,47.26,37.7,19.65,14.34
2019-01-13-23,48.85,43.54,20.18,14.34
2019-01-14-00,48.32,47.79,17.52,14.87
2019-01-14-01,47.79,46.2,15.93,12.74
2019-01-14-02,46.2,45.67,15.93,12.74
2019-01-14-03,45.67,46.2,15.4,11.68
2019-01-14-04,45.14,44.6,16.99,11.15
2019-01-14-05,45.14,42.48,18.58,11.68
2019-01-14-06,44.07,45.14,16.99,12.74
2019-01-14-07,39.29,48.32,13.81,12.74
2019-01-14-08,38.23,50.44,15.93,16.46
2019-01-14-09,37.7,45.14,16.46,14.34
2019-01-14-10,40.36,35.58,16.46,13.28
2019-01-14-11,43.01,30.8,17.52,10.62
2019-01-14-12,45.67,25.49,15.93,6.9
2019-01-14-13,51.51,20.71,13.28,6.37
2019-01-14-14,57.35,18.05,14.34,4.78
2019-01-14-15,60.0,18.58,18.05,5.84
2019-01-14-16,62.13,20.18,20.71,9.03
2019-01-14-17,64.78,23.9,21.24,12.74
2019-01-14-18,49.38,28.67,21.77,13.28
2019-01-14-19,24.43,33.98,18.05,13.28
2019-01-14-20,9.56,36.11,19.12,13.28
2019-01-14-21,5.84,33.98,17.52,15.4
2019-01-14-22,4.78,34.52,18.05,18.58
2019-01-14-23,4.25,37.7,17.52,22.83
2019-01-15-00,4.25,37.17,19.12,14.34
2019-01-15-01,4.25,33.98,21.77,14.34
2019-01-15-02,4.25,27.61,24.96,14.34
2019-01-15-03,4.25,25.49,22.83,14.87
2019-01-15-04,3.72,26.55,23.36,14.87
2019-01-15-05,3.72,26.55,22.3,12.74
2019-01-15-06,4.25,30.27,22.3,13.28
2019-01-15-07,5.84,36.64,21.77,15.4
2019-01-15-08,7.97,41.42,21.24,20.71
2019-01-15-09,6.9,38.23,23.36,23.9
2019-01-15-10,5.84,31.33,23.9,26.02
2019-01-15-11,4.78,32.39,22.3,25.49
2019-01-15-12,4.78,22.3,20.18,26.02
2019-01-15-13,4.78,21.77,22.3,19.12
2019-01-15-14,4.78,22.3,19.65,18.58
2019-01-15-15,4.78,22.83,21.24,19.12
2019-01-15-16,5.84,23.36,24.43,19.12
2019-01-15-17,7.97,29.2,23.36,18.58
2019-01-15-18,13.81,30.27,20.18,22.83
2019-01-15-19,18.05,25.49,16.46,17.52
2019-01-15-20,19.12,25.49,14.34,14.34
2019-01-15-21,22.83,19.12,13.28,15.4
2019-01-15-22,23.36,17.52,12.74,10.62
2019-01-15-23,21.77,15.4,14.34,8.5
2019-01-16-00,23.9,13.81,12.74,7.43
2019-01-16-01,27.61,12.74,11.15,7.43
2019-01-16-02,30.8,12.21,9.56,5.84
2019-01-16-03,31.86,10.62,9.56,5.84
2019-01-16-04,32.39,11.15,8.5,4.78
2019-01-16-05,32.39,11.68,8.5,4.78
2019-01-16-06,31.33,13.81,9.03,5.31
2019-01-16-07,32.39,19.65,10.09,6.37
2019-01-16-08,33.45,25.49,11.15,10.09
2019-01-16-09,31.33,24.43,14.34,11.68
2019-01-16-10,29.2,22.3,16.46,13.28
2019-01-16-11,24.96,19.65,14.87,12.74
2019-01-16-12,22.83,19.12,13.28,12.74
2019-01-16-13,22.83,19.12,12.21,13.81
2019-01-16-14,21.24,20.71,12.21,13.81
2019-01-16-15,19.12,22.3,12.74,13.28
2019-01-16-16,19.12,25.49,13.81,14.34
2019-01-16-17,24.43,29.74,14.87,15.4
2019-01-16-18,33.98,32.39,14.87,14.34
2019-01-16-19,39.29,33.45,14.87,11.68
2019-01-16-20,38.76,34.52,13.81,11.68
2019-01-16-21,39.83,34.52,15.4,10.62
2019-01-16-22,39.29,38.76,15.4,9.56
2019-01-16-23,40.36,40.36,16.46,9.56
2019-01-17-00,39.29,39.29,15.4,8.5
2019-01-17-01,38.23,38.23,13.81,8.5
2019-01-17-02,38.76,39.29,12.74,8.5
2019-01-17-03,37.17,35.05,11.15,9.56
2019-01-17-04,35.58,34.52,10.09,11.68
2019-01-17-05,32.39,35.05,10.09,10.62
2019-01-17-06,30.8,36.64,10.09,11.15
2019-01-17-07,30.8,38.23,11.68,13.28
2019-01-17-08,30.8,39.29,13.81,15.93
2019-01-17-09,29.2,37.7,14.34,14.87
2019-01-17-10,24.96,34.52,13.28,13.81
2019-01-17-11,20.71,32.39,13.81,14.34
2019-01-17-12,18.05,32.39,15.4,15.93
2019-01-17-13,15.93,33.98,15.93,12.21
2019-01-17-14,18.58,35.05,15.4,12.21
2019-01-17-15,23.36,35.58,18.05,11.68
2019-01-17-16,27.61,39.83,16.46,10.09
2019-01-17-17,32.92,51.51,16.99,9.03
2019-01-17-18,40.36,61.07,15.93,9.03
2019-01-17-19,44.07,65.84,13.81,9.03
2019-01-17-20,44.6,65.31,13.28,11.15
2019-01-17-21,44.6,63.72,15.4,12.21
2019-01-17-22,45.14,63.19,14.87,12.21
2019-01-17-23,44.6,60.53,12.74,13.28
2019-01-18-00,44.07,57.35,10.62,13.28
2019-01-18-01,42.48,55.76,10.62,11.68
2019-01-18-02,40.36,53.63,11.15,9.03
2019-01-18-03,40.36,51.51,9.03,6.37
2019-01-18-04,40.36,48.85,9.03,5.84
2019-01-18-05,42.48,45.14,9.56,5.31
2019-01-18-06,41.42,45.67,10.09,5.31
2019-01-18-07,40.36,47.26,11.68,7.97
2019-01-18-08,38.76,47.79,17.52,14.34
2019-01-18-09,37.7,45.14,14.34,14.87
2019-01-18-10,37.17,41.95,12.74,9.56
2019-01-18-11,33.98,37.7,11.15,6.9
2019-01-18-12,33.45,31.33,10.09,5.84
2019-01-18-13,29.2,30.27,9.56,5.31
2019-01-18-14,29.74,22.3,10.09,5.31
2019-01-18-15,32.39,19.12,9.56,5.31
2019-01-18-16,39.83,21.77,9.56,6.9
2019-01-18-17,46.2,26.55,12.21,8.5
2019-01-18-18,50.98,33.98,15.93,11.68
2019-01-18-19,50.98,41.42,20.18,15.4
2019-01-18-20,50.44,43.54,28.67,16.99
2019-01-18-21,48.85,42.48,29.74,21.24
2019-01-18-22,47.26,38.76,26.02,24.43
2019-01-18-23,39.29,35.58,30.27,19.65
2019-01-19-00,24.43,31.86,29.2,23.36
2019-01-19-01,20.18,30.27,27.61,32.92
2019-01-19-02,16.46,26.02,26.55,30.8
2019-01-19-03,12.74,25.49,24.96,32.92
2019-01-19-04,11.68,23.36,23.9,33.98
2019-01-19-05,11.15,21.24,26.02,35.58
2019-01-19-06,11.15,24.96,24.96,33.98
2019-01-19-07,12.74,31.86,24.96,31.33
2019-01-19-08,13.81,38.23,22.83,30.27
2019-01-19-09,14.34,43.54,22.3,31.86
2019-01-19-10,12.74,46.73,21.77,38.23
2019-01-19-11,9.03,46.2,18.58,30.8
2019-01-19-12,7.43,45.14,15.4,16.99
2019-01-19-13,6.9,47.26,14.34,19.12
2019-01-19-14,6.9,47.79,12.74,19.65
2019-01-19-15,7.97,45.14,12.74,13.81
2019-01-19-16,9.56,48.85,15.4,9.03
2019-01-19-17,11.68,53.63,21.77,14.34
2019-01-19-18,16.99,56.82,30.8,12.21
2019-01-19-19,21.77,55.22,29.2,13.28
2019-01-19-20,20.71,53.63,34.52,16.99
2019-01-19-21,18.58,51.51,37.7,20.18
2019-01-19-22,12.74,49.38,38.23,24.43
2019-01-19-23,9.56,48.85,39.83,27.61
2019-01-20-00,9.03,50.44,38.23,29.2
2019-01-20-01,7.43,47.26,35.58,43.54
2019-01-20-02,6.37,44.07,32.92,43.01
2019-01-20-03,6.9,43.54,31.33,41.95
2019-01-20-04,7.97,37.17,29.74,39.29
2019-01-20-05,7.97,28.14,27.61,33.45
2019-01-20-06,9.03,27.61,26.55,31.33
2019-01-20-07,9.56,32.92,23.9,29.74
2019-01-20-08,9.03,35.05,22.3,29.74
2019-01-20-09,8.5,33.45,22.83,31.86
2019-01-20-10,7.43,31.33,24.43,33.98
2019-01-20-11,5.84,27.61,22.83,31.86
2019-01-20-12,5.31,23.36,22.3,28.14
2019-01-20-13,4.78,22.3,18.58,16.46
2019-01-20-14,5.31,22.3,18.05,10.62
2019-01-20-15,5.84,19.12,20.18,9.03
2019-01-20-16,6.37,15.93,19.12,9.03
2019-01-20-17,7.97,16.46,19.65,10.09
2019-01-20-18,11.15,15.93,18.58,11.15
2019-01-20-19,15.4,15.93,15.4,11.68
2019-01-20-20,19.65,18.05,14.87,11.15
2019-01-20-21,26.02,19.12,15.93,11.15
2019-01-20-22,30.8,19.65,15.4,10.62
2019-01-20-23,32.39,21.24,13.81,10.62
2019-01-21-00,33.45,22.3,11.68,9.56
2019-01-21-01,32.92,21.24,11.68,9.56
2019-01-21-02,32.39,20.71,11.68,8.5
2019-01-21-03,30.8,21.77,10.62,8.5
2019-01-21-04,27.61,24.43,10.62,8.5
2019-01-21-05,19.65,27.08,10.62,7.97
2019-01-21-06,19.65,35.05,11.15,7.97
2019-01-21-07,21.24,44.6,11.68,9.03
2019-01-21-08,27.61,46.73,13.81,11.68
2019-01-21-09,25.49,43.01,13.28,12.21
2019-01-21-10,18.58,36.64,13.81,12.74
2019-01-21-11,12.74,28.67,13.81,11.68
2019-01-21-12,9.03,26.02,13.81,10.62
2019-01-21-13,7.97,27.08,14.34,8.5
2019-01-21-14,7.43,27.08,13.28,8.5
2019-01-21-15,8.5,27.61,14.87,9.03
2019-01-21-16,10.62,31.33,14.87,9.56
2019-01-21-17,15.4,33.45,16.99,11.68
2019-01-21-18,26.55,38.76,18.58,12.74
2019-01-21-19,30.8,49.38,19.12,15.4
2019-01-21-20,36.64,56.82,19.65,18.05
2019-01-21-21,39.29,60.53,20.71,17.52
2019-01-21-22,39.29,61.6,19.65,19.65
2019-01-21-23,38.76,61.07,18.58,18.05
2019-01-22-00,38.76,58.94,17.52,15.93
2019-01-22-01,40.36,55.22,16.99,15.93
2019-01-22-02,39.29,53.1,16.46,16.99
2019-01-22-03,35.58,52.04,14.34,16.99
2019-01-22-04,30.27,49.91,16.99,15.93
2019-01-22-05,28.14,48.32,17.52,16.46
2019-01-22-06,26.02,48.32,20.71,16.46
2019-01-22-07,30.8,49.91,20.18,18.05
2019-01-22-08,32.92,49.38,19.12,20.18
2019-01-22-09,31.33,47.26,15.93,21.24
2019-01-22-10,23.9,43.01,12.21,19.65
2019-01-22-11,19.65,37.17,11.68,12.74
2019-01-22-12,15.4,33.45,10.62,12.74
2019-01-22-13,12.21,30.8,10.62,14.34
2019-01-22-14,11.15,30.8,9.56,12.74
2019-01-22-15,8.5,24.96,10.09,11.68
2019-01-22-16,10.62,26.02,12.21,7.97
2019-01-22-17,14.87,30.8,18.05,8.5
2019-01-22-18,25.49,41.95,19.65,8.5
2019-01-22-19,36.64,53.63,20.71,11.15
2019-01-22-20,39.83,58.94,21.24,12.74
2019-01-22-21,39.83,61.07,26.02,20.71
2019-01-22-22,39.83,64.25,28.14,22.3
2019-01-22-23,38.76,62.66,28.14,21.24
2019-01-23-00,38.23,62.13,31.86,14.87
2019-01-23-01,34.52,62.66,25.49,13.81
2019-01-23-02,31.86,63.72,23.36,13.81
2019-01-23-03,33.98,62.13,21.24,11.68
2019-01-23-04,33.45,60.53,17.52,9.56
2019-01-23-05,30.27,58.94,16.99,7.97
2019-01-23-06,26.55,58.94,16.46,9.56
2019-01-23-07,28.67,60.0,19.12,21.77
2019-01-23-08,32.92,61.07,18.58,28.67
2019-01-23-09,30.27,59.47,16.99,27.08
2019-01-23-10,23.9,56.82,14.34,16.99
2019-01-23-11,15.93,50.98,14.34,11.68
2019-01-23-12,12.21,39.29,13.28,11.15
2019-01-23-13,9.56,32.39,12.21,7.43
2019-01-23-14,9.56,31.86,11.68,5.31
2019-01-23-15,11.15,28.67,11.68,5.31
2019-01-23-16,14.34,30.27,13.28,9.03
2019-01-23-17,18.58,38.23,18.58,7.43
2019-01-23-18,29.2,55.76,18.58,10.62
2019-01-23-19,31.86,77.53,21.24,13.28
2019-01-23-20,33.98,79.12,22.3,12.74
2019-01-23-21,27.08,72.22,25.49,12.74
2019-01-23-22,26.02,75.4,31.33,14.34
2019-01-23-23,33.45,78.06,30.27,14.87
2019-01-24-00,34.52,77.0,28.67,16.46
2019-01-24-01,30.27,73.28,24.43,14.34
2019-01-24-02,27.08,69.56,23.36,13.81
2019-01-24-03,27.61,69.03,20.18,13.28
2019-01-24-04,27.61,71.68,15.93,13.81
2019-01-24-05,27.61,70.09,14.34,15.4
