,北京,上海,福州,廈門
2019-01-08-18,19.34,51.41,15.78,24.43
2019-01-08-19,12.72,38.68,15.78,21.89
2019-01-08-20,8.65,29.52,17.82,20.36
2019-01-08-21,6.62,32.07,17.82,21.38
2019-01-08-22,7.13,31.56,18.32,21.89
2019-01-08-23,7.13,30.03,20.87,19.34
2019-01-09-00,6.11,29.01,19.34,17.82
2019-01-09-01,6.11,28.5,22.9,17.31
2019-01-09-02,4.07,29.52,22.9,17.82
2019-01-09-03,4.58,30.03,25.96,18.83
2019-01-09-04,4.07,25.45,24.94,19.85
2019-01-09-05,3.56,25.45,21.89,18.83
2019-01-09-06,5.6,23.92,22.4,19.85
2019-01-09-07,4.58,21.38,21.89,21.38
2019-01-09-08,3.56,21.89,21.89,18.83
2019-01-09-09,5.09,22.4,23.41,19.85
2019-01-09-10,7.13,19.85,26.47,21.38
2019-01-09-11,9.67,15.78,28.5,22.9
2019-01-09-12,10.69,15.78,30.03,28.0
2019-01-09-13,11.71,17.82,30.03,31.56
2019-01-09-14,12.72,22.4,29.01,35.12
2019-01-09-15,14.76,24.94,31.05,38.68
2019-01-09-16,15.27,22.9,30.54,37.67
2019-01-09-17,14.25,19.34,29.52,34.61
2019-01-09-18,11.2,16.8,29.01,29.52
2019-01-09-19,9.16,15.27,25.45,27.49
2019-01-09-20,7.13,15.27,23.92,23.92
2019-01-09-21,5.09,14.76,20.36,20.87
2019-01-09-22,3.05,15.78,18.83,21.89
2019-01-09-23,3.05,13.23,15.78,22.4
2019-01-10-00,3.05,13.23,12.72,21.89
2019-01-10-01,2.54,15.27,14.25,17.82
2019-01-10-02,3.05,14.76,15.27,12.72
2019-01-10-03,3.05,15.27,11.2,12.72
2019-01-10-04,3.05,16.29,10.18,10.18
2019-01-10-05,3.05,15.78,9.16,7.13
2019-01-10-06,2.04,16.8,7.13,3.05
2019-01-10-07,2.04,12.72,7.13,3.05
2019-01-10-08,2.54,8.65,6.62,2.04
2019-01-10-09,3.05,9.67,6.62,4.58
2019-01-10-10,4.07,12.72,10.18,9.67
2019-01-10-11,5.09,13.23,13.74,13.23
2019-01-10-12,7.64,15.27,17.82,18.32
2019-01-10-13,10.18,13.74,22.9,21.38
2019-01-10-14,11.71,12.22,23.41,28.0
2019-01-10-15,12.72,12.72,21.38,44.79
2019-01-10-16,10.69,12.72,17.31,44.79
2019-01-10-17,4.58,14.25,11.2,41.23
2019-01-10-18,2.04,16.29,8.65,34.1
2019-01-10-19,2.04,19.85,8.14,29.52
2019-01-10-20,2.04,22.4,8.14,28.5
2019-01-10-21,2.04,18.83,8.14,25.96
2019-01-10-22,2.04,19.85,7.64,22.4
2019-01-10-23,2.04,21.38,7.64,22.4
2019-01-11-00,2.54,21.38,7.64,20.87
2019-01-11-01,2.54,16.8,8.14,16.8
2019-01-11-02,2.54,14.25,8.65,15.78
2019-01-11-03,2.54,12.22,9.16,19.85
2019-01-11-04,3.05,13.23,8.14,16.29
2019-01-11-05,3.05,14.25,6.62,18.32
2019-01-11-06,2.54,17.31,8.14,16.8
2019-01-11-07,2.54,14.76,7.13,10.69
2019-01-11-08,3.05,10.69,5.6,9.67
2019-01-11-09,3.05,11.71,5.09,10.18
2019-01-11-10,4.07,13.74,5.6,10.69
2019-01-11-11,6.62,15.27,5.6,10.69
2019-01-11-12,11.2,17.82,7.13,11.71
2019-01-11-13,14.76,17.31,9.67,19.34
2019-01-11-14,15.27,13.74,13.74,17.82
2019-01-11-15,15.27,8.14,14.76,21.38
2019-01-11-16,11.2,5.6,13.74,21.38
2019-01-11-17,6.11,5.09,8.65,15.27
2019-01-11-18,2.54,4.58,7.13,11.71
2019-01-11-19,2.04,4.07,8.65,15.27
2019-01-11-20,2.04,4.07,8.65,17.31
2019-01-11-21,2.54,4.07,9.16,13.23
2019-01-11-22,3.05,4.07,9.67,6.11
2019-01-11-23,3.56,5.09,9.67,5.09
2019-01-12-00,3.56,6.11,7.64,8.65
2019-01-12-01,3.05,7.64,9.16,14.76
2019-01-12-02,3.05,6.11,9.16,13.23
2019-01-12-03,2.54,9.16,7.13,7.13
2019-01-12-04,2.54,6.62,8.14,4.58
2019-01-12-05,3.05,6.11,7.13,4.58
2019-01-12-06,2.04,7.13,6.11,5.6
2019-01-12-07,1.53,7.64,5.6,5.09
2019-01-12-08,1.53,7.13,5.09,4.07
2019-01-12-09,2.04,5.6,7.13,11.2
2019-01-12-10,3.56,6.11,9.16,12.22
2019-01-12-11,5.6,6.62,9.67,13.23
2019-01-12-12,7.13,10.18,9.67,15.78
2019-01-12-13,10.18,11.2,11.2,18.32
2019-01-12-14,10.69,9.16,13.23,22.9
2019-01-12-15,9.67,7.13,10.69,26.47
2019-01-12-16,6.11,6.62,8.65,26.98
2019-01-12-17,3.05,5.6,6.11,31.05
2019-01-12-18,2.04,5.09,5.6,29.52
2019-01-12-19,2.54,5.09,5.09,18.32
2019-01-12-20,2.54,6.62,6.62,11.71
2019-01-12-21,2.54,6.62,7.64,8.65
2019-01-12-22,2.54,7.64,7.13,7.64
2019-01-12-23,2.54,8.14,6.11,8.14
2019-01-13-00,2.54,8.14,6.11,9.67
2019-01-13-01,2.54,10.18,7.13,11.2
2019-01-13-02,2.54,11.71,7.13,10.18
2019-01-13-03,4.58,12.72,6.11,11.71
2019-01-13-04,4.58,12.72,6.62,13.23
2019-01-13-05,4.58,14.76,6.62,15.27
2019-01-13-06,5.09,14.25,6.62,15.78
2019-01-13-07,4.07,10.69,6.62,14.25
2019-01-13-08,6.11,8.14,6.62,12.22
2019-01-13-09,8.65,10.69,7.64,12.72
2019-01-13-10,19.34,14.76,6.62,11.71
2019-01-13-11,24.94,16.29,9.16,13.23
2019-01-13-12,29.01,17.31,10.18,19.85
2019-01-13-13,32.58,19.85,10.69,26.47
2019-01-13-14,34.1,23.92,12.22,30.03
2019-01-13-15,34.61,25.96,11.2,33.08
2019-01-13-16,34.1,22.9,11.2,33.59
2019-01-13-17,29.01,18.83,10.18,31.05
2019-01-13-18,16.8,12.72,10.18,25.96
2019-01-13-19,7.64,13.23,13.74,23.41
2019-01-13-20,5.09,19.85,12.72,19.85
2019-01-13-21,4.07,20.36,12.22,20.87
2019-01-13-22,4.07,16.29,13.23,21.38
2019-01-13-23,4.07,11.71,13.23,21.38
2019-01-14-00,4.07,9.67,15.27,19.85
2019-01-14-01,3.56,10.69,16.8,21.38
2019-01-14-02,3.56,9.67,16.29,21.38
2019-01-14-03,3.05,7.64,15.78,21.89
2019-01-14-04,2.54,8.14,14.25,21.38
2019-01-14-05,2.04,10.69,10.69,20.36
2019-01-14-06,2.54,8.65,12.72,18.83
2019-01-14-07,2.54,7.13,17.82,19.34
2019-01-14-08,2.04,6.62,18.83,16.8
2019-01-14-09,2.54,13.74,19.34,19.34
2019-01-14-10,3.56,24.43,20.87,22.9
2019-01-14-11,5.6,29.52,20.36,26.98
2019-01-14-12,8.14,35.12,24.43,33.59
2019-01-14-13,8.65,39.7,31.56,38.68
2019-01-14-14,9.67,42.25,35.63,41.74
2019-01-14-15,10.18,42.25,33.08,39.7
2019-01-14-16,9.67,41.74,27.49,39.7
2019-01-14-17,6.11,39.19,23.92,37.67
2019-01-14-18,11.2,37.67,20.87,36.65
2019-01-14-19,21.38,34.61,21.89,34.1
2019-01-14-20,27.49,32.07,19.34,31.05
2019-01-14-21,31.56,32.07,20.87,28.0
2019-01-14-22,30.03,30.03,19.85,22.9
2019-01-14-23,29.52,25.96,19.34,19.34
2019-01-15-00,29.52,25.45,15.78,24.43
2019-01-15-01,29.01,26.98,12.22,22.9
2019-01-15-02,29.01,32.07,7.64,22.4
2019-01-15-03,29.01,33.59,10.18,20.87
2019-01-15-04,28.5,32.07,8.14,19.34
2019-01-15-05,28.5,31.56,9.16,21.89
2019-01-15-06,28.0,26.98,7.13,21.89
2019-01-15-07,26.47,20.36,7.13,18.32
2019-01-15-08,24.43,17.82,7.13,14.76
2019-01-15-09,24.94,22.9,5.09,12.22
2019-01-15-10,26.47,30.03,6.62,11.2
2019-01-15-11,28.0,30.54,10.18,14.76
2019-01-15-12,31.05,42.25,15.78,19.34
2019-01-15-13,32.07,44.28,16.8,22.9
2019-01-15-14,32.07,49.88,21.38,24.94
2019-01-15-15,32.07,50.9,21.89,23.41
2019-01-15-16,31.56,44.28,20.87,24.43
2019-01-15-17,28.5,43.77,19.85,22.9
2019-01-15-18,22.9,46.32,23.41,21.89
2019-01-15-19,17.82,50.9,26.47,25.96
2019-01-15-20,17.31,40.21,29.01,23.92
2019-01-15-21,13.74,32.58,31.56,21.89
2019-01-15-22,12.72,31.56,31.56,28.0
2019-01-15-23,13.23,32.58,29.01,30.03
2019-01-16-00,11.2,32.58,31.05,31.05
2019-01-16-01,7.64,32.07,32.07,30.03
2019-01-16-02,4.58,32.07,33.08,33.08
2019-01-16-03,3.56,33.08,31.05,32.58
2019-01-16-04,2.04,32.58,31.56,34.61
2019-01-16-05,2.04,31.05,30.54,34.1
2019-01-16-06,2.04,28.0,28.5,33.59
2019-01-16-07,1.53,20.87,25.45,31.56
2019-01-16-08,1.53,15.27,21.38,28.0
2019-01-16-09,4.07,16.29,16.8,26.98
2019-01-16-10,8.14,18.83,17.82,25.45
2019-01-16-11,12.22,21.89,20.87,26.47
2019-01-16-12,16.29,24.94,22.4,28.5
2019-01-16-13,18.32,26.47,24.94,27.49
2019-01-16-14,21.89,28.0,25.96,28.5
2019-01-16-15,23.92,28.5,25.45,29.52
2019-01-16-16,23.41,26.98,24.43,29.01
2019-01-16-17,16.8,23.41,24.94,27.49
2019-01-16-18,8.65,20.36,24.94,27.49
2019-01-16-19,13.74,17.82,23.92,28.0
2019-01-16-20,4.58,15.78,23.92,27.49
2019-01-16-21,2.04,14.25,20.87,26.98
2019-01-16-22,1.53,10.69,19.85,26.98
2019-01-16-23,1.53,9.16,18.83,26.98
2019-01-17-00,1.02,8.65,19.34,26.47
2019-01-17-01,1.53,8.65,20.36,25.45
2019-01-17-02,1.53,6.62,20.36,25.45
2019-01-17-03,1.53,8.65,21.38,22.9
2019-01-17-04,2.54,8.14,21.38,18.83
2019-01-17-05,3.05,7.64,19.34,18.83
2019-01-17-06,3.56,5.6,17.82,17.82
2019-01-17-07,3.56,5.6,15.27,15.27
2019-01-17-08,3.56,5.6,11.71,12.22
2019-01-17-09,5.6,8.14,12.72,13.74
2019-01-17-10,10.18,11.71,17.82,15.78
2019-01-17-11,15.27,16.8,21.89,20.36
2019-01-17-12,20.36,20.87,24.43,25.96
2019-01-17-13,23.41,22.9,25.96,35.63
2019-01-17-14,23.41,24.94,29.52,46.32
2019-01-17-15,19.85,24.94,32.58,53.95
2019-01-17-16,15.27,23.41,35.12,56.5
2019-01-17-17,11.2,14.25,39.19,52.43
2019-01-17-18,3.56,8.14,43.26,46.83
2019-01-17-19,2.04,5.6,43.26,44.79
2019-01-17-20,2.04,6.62,39.7,40.21
2019-01-17-21,2.04,5.09,37.16,36.14
2019-01-17-22,2.04,4.58,38.68,33.59
2019-01-17-23,2.04,4.07,43.26,31.56
2019-01-18-00,2.54,4.07,46.83,28.0
2019-01-18-01,2.04,4.07,48.36,28.5
2019-01-18-02,1.53,4.07,46.83,35.12
2019-01-18-03,1.53,4.07,46.83,41.23
2019-01-18-04,1.53,3.56,45.3,40.21
2019-01-18-05,1.53,5.09,42.76,39.7
2019-01-18-06,1.53,3.56,39.7,38.68
2019-01-18-07,1.53,4.07,35.63,36.65
2019-01-18-08,1.53,5.09,28.5,30.03
2019-01-18-09,2.04,7.64,33.59,29.01
2019-01-18-10,3.56,12.22,38.17,36.65
2019-01-18-11,7.64,21.38,43.77,40.72
2019-01-18-12,9.16,30.03,48.86,44.79
2019-01-18-13,13.23,34.1,53.95,49.88
2019-01-18-14,14.25,47.34,55.99,53.44
2019-01-18-15,12.22,52.94,54.97,54.97
2019-01-18-16,9.16,53.44,54.97,54.97
2019-01-18-17,5.6,49.88,51.92,51.92
2019-01-18-18,2.54,39.7,45.3,46.32
2019-01-18-19,2.04,28.5,38.17,38.68
2019-01-18-20,2.04,23.92,26.47,34.61
2019-01-18-21,3.56,21.89,22.4,29.01
2019-01-18-22,5.09,23.41,22.4,24.94
2019-01-18-23,7.13,24.94,13.23,26.98
2019-01-19-00,12.22,27.49,11.71,21.89
2019-01-19-01,13.74,27.49,11.71,15.78
2019-01-19-02,16.29,30.03,11.2,15.78
2019-01-19-03,19.34,29.52,14.76,14.25
2019-01-19-04,19.85,31.05,10.69,11.2
2019-01-19-05,20.36,31.56,9.67,8.14
2019-01-19-06,20.36,27.49,9.67,8.14
2019-01-19-07,18.83,22.9,8.14,8.65
2019-01-19-08,17.82,18.32,9.67,8.65
2019-01-19-09,17.82,14.25,13.74,9.67
2019-01-19-10,20.87,12.72,17.82,11.71
2019-01-19-11,26.98,12.72,26.47,20.87
2019-01-19-12,30.54,13.74,33.08,33.59
2019-01-19-13,32.07,11.2,39.19,35.12
2019-01-19-14,32.58,12.22,45.3,39.19
2019-01-19-15,32.07,13.74,46.83,48.36
2019-01-19-16,30.54,11.2,46.83,54.97
2019-01-19-17,29.01,7.13,39.7,48.86
2019-01-19-18,23.41,3.56,24.43,45.81
2019-01-19-19,18.32,3.56,22.4,42.25
2019-01-19-20,18.32,3.56,16.8,35.12
2019-01-19-21,20.36,3.56,11.71,32.07
2019-01-19-22,26.98,3.56,10.18,25.96
2019-01-19-23,30.54,3.56,6.62,21.89
2019-01-20-00,31.05,3.56,5.6,17.82
2019-01-20-01,31.56,5.6,5.6,8.65
2019-01-20-02,31.56,6.11,5.09,7.64
2019-01-20-03,30.03,4.58,5.6,8.14
2019-01-20-04,28.5,9.16,5.09,8.65
2019-01-20-05,27.49,18.83,5.09,9.16
2019-01-20-06,26.47,16.29,5.09,11.71
2019-01-20-07,25.96,9.16,5.6,11.71
2019-01-20-08,26.98,6.62,8.65,11.71
2019-01-20-09,28.0,8.65,9.67,11.71
2019-01-20-10,30.03,12.22,12.72,14.25
2019-01-20-11,32.07,20.36,15.78,24.43
2019-01-20-12,33.59,30.54,17.31,31.05
2019-01-20-13,34.61,39.19,20.87,33.59
2019-01-20-14,35.12,41.74,22.4,42.25
2019-01-20-15,35.12,40.72,20.36,45.3
2019-01-20-16,35.12,40.72,20.87,41.74
2019-01-20-17,33.08,38.17,19.85,38.17
2019-01-20-18,28.5,35.63,22.9,33.08
2019-01-20-19,25.45,35.63,25.45,32.07
2019-01-20-20,20.87,34.1,25.45,31.56
2019-01-20-21,14.25,32.58,24.94,29.52
2019-01-20-22,10.18,32.07,29.01,30.03
2019-01-20-23,8.14,30.03,37.67,30.03
2019-01-21-00,6.62,28.0,42.25,31.56
2019-01-21-01,6.62,28.5,42.76,31.05
2019-01-21-02,7.64,28.0,41.74,32.07
2019-01-21-03,7.64,26.47,42.25,32.07
2019-01-21-04,11.71,22.4,40.72,30.54
2019-01-21-05,17.31,19.85,39.19,31.56
2019-01-21-06,17.82,12.22,37.16,30.54
2019-01-21-07,16.29,5.09,35.63,29.52
2019-01-21-08,11.2,5.09,31.56,28.5
2019-01-21-09,14.25,9.16,32.58,28.5
2019-01-21-10,21.89,15.27,35.12,30.03
2019-01-21-11,27.49,23.41,37.67,33.59
2019-01-21-12,32.07,28.0,38.68,37.16
2019-01-21-13,33.59,30.03,36.14,38.68
2019-01-21-14,34.61,31.56,39.19,37.16
2019-01-21-15,35.12,31.56,37.16,38.17
2019-01-21-16,36.14,29.01,35.63,37.16
2019-01-21-17,30.54,26.47,32.07,38.17
2019-01-21-18,18.83,22.4,29.01,34.61
2019-01-21-19,12.72,13.23,26.98,30.03
2019-01-21-20,7.64,7.64,25.96,28.0
2019-01-21-21,4.58,5.09,24.43,24.94
2019-01-21-22,5.6,4.07,23.92,21.89
2019-01-21-23,3.56,3.56,23.92,21.38
2019-01-22-00,3.05,3.56,23.41,21.89
2019-01-22-01,2.04,4.07,23.41,20.36
2019-01-22-02,2.04,4.07,21.38,17.82
2019-01-22-03,5.09,4.07,22.9,17.31
2019-01-22-04,9.16,4.58,18.83,16.8
2019-01-22-05,9.67,5.6,15.27,15.78
2019-01-22-06,10.69,5.09,9.16,15.27
2019-01-22-07,7.64,4.07,9.16,13.23
2019-01-22-08,7.64,4.58,8.65,11.71
2019-01-22-09,9.16,6.62,14.25,12.22
2019-01-22-10,15.27,15.27,25.45,14.25
2019-01-22-11,19.85,24.43,34.1,18.83
2019-01-22-12,25.45,30.03,41.23,24.43
2019-01-22-13,29.52,36.14,47.34,29.52
2019-01-22-14,32.07,38.17,51.92,38.17
2019-01-22-15,34.1,41.23,53.44,47.85
2019-01-22-16,32.07,37.67,50.9,55.99
2019-01-22-17,27.49,31.05,49.37,53.44
2019-01-22-18,17.82,18.83,47.34,50.9
2019-01-22-19,8.14,9.67,43.77,46.32
2019-01-22-20,5.6,7.13,40.21,42.25
2019-01-22-21,4.58,7.13,34.1,33.08
2019-01-22-22,4.07,6.62,30.54,30.03
2019-01-22-23,4.58,9.16,25.45,30.03
2019-01-23-00,5.6,8.65,18.83,34.61
2019-01-23-01,6.62,9.16,22.4,34.61
2019-01-23-02,7.64,6.11,19.34,35.12
2019-01-23-03,5.09,4.58,19.85,38.68
2019-01-23-04,4.58,4.58,22.4,39.19
2019-01-23-05,6.62,4.58,19.85,38.68
2019-01-23-06,10.69,4.07,16.8,32.07
2019-01-23-07,8.14,4.07,14.25,20.87
2019-01-23-08,5.09,4.58,16.8,15.27
2019-01-23-09,8.65,8.14,21.89,17.31
2019-01-23-10,15.78,14.25,27.49,29.52
2019-01-23-11,21.89,22.9,37.16,37.16
2019-01-23-12,29.52,36.65,47.85,41.74
2019-01-23-13,32.58,44.28,54.97,49.88
2019-01-23-14,33.59,46.83,58.03,57.01
2019-01-23-15,33.08,50.39,60.06,61.08
2019-01-23-16,31.05,50.39,59.55,63.62
2019-01-23-17,28.0,42.25,55.48,64.13
2019-01-23-18,16.8,28.0,53.95,57.52
2019-01-23-19,11.71,11.2,49.88,53.95
2019-01-23-20,11.2,11.2,44.79,51.92
2019-01-23-21,14.25,14.76,39.19,47.34
2019-01-23-22,13.74,10.69,31.56,43.77
2019-01-23-23,6.62,7.13,29.01,41.23
2019-01-24-00,4.58,6.11,27.49,39.19
2019-01-24-01,5.6,6.62,29.01,41.23
2019-01-24-02,7.13,7.13,26.47,41.23
2019-01-24-03,6.62,6.62,26.47,38.68
2019-01-24-04,8.14,5.09,29.52,36.14
2019-01-24-05,6.62,4.07,29.01,33.59
