,北京,上海,福州,廈門
2019-01-06-07,33.0,12.0,13.0,27.0
2019-01-06-08,30.0,13.0,13.0,27.0
2019-01-06-09,34.0,16.0,16.0,27.0
2019-01-06-10,35.0,17.0,15.0,26.0
2019-01-06-11,41.0,16.0,15.0,22.0
2019-01-06-12,50.0,16.0,16.0,18.0
2019-01-06-13,64.0,20.0,16.0,18.0
2019-01-06-14,70.0,20.0,11.0,22.0
2019-01-06-15,80.0,23.0,11.0,21.0
2019-01-06-16,82.0,23.0,10.0,21.0
2019-01-06-17,86.0,23.0,10.0,18.0
2019-01-06-18,85.0,26.0,11.0,18.0
2019-01-06-19,92.0,27.0,13.0,20.0
2019-01-06-20,95.0,29.0,13.0,18.0
2019-01-06-21,100.0,33.0,12.0,17.0
2019-01-06-22,93.0,32.0,12.0,14.0
2019-01-06-23,89.0,30.0,12.0,13.0
2019-01-07-00,87.0,31.0,12.0,13.0
2019-01-07-01,87.0,27.0,14.0,11.0
2019-01-07-02,86.0,24.0,16.0,11.0
2019-01-07-03,86.0,24.0,21.0,11.0
2019-01-07-04,90.0,23.0,23.0,12.0
2019-01-07-05,79.0,23.0,21.0,10.0
2019-01-07-06,65.0,24.0,18.0,10.0
2019-01-07-07,50.0,25.0,16.0,10.0
2019-01-07-08,40.0,28.0,16.0,10.0
2019-01-07-09,31.0,30.0,17.0,9.0
2019-01-07-10,21.0,28.0,20.0,10.0
2019-01-07-11,15.0,30.0,16.0,10.0
2019-01-07-12,15.0,30.0,12.0,10.0
2019-01-07-13,11.0,29.0,12.0,11.0
2019-01-07-14,10.0,29.0,13.0,18.0
2019-01-07-15,9.0,29.0,16.0,25.0
2019-01-07-16,15.0,32.0,15.0,26.0
2019-01-07-17,11.0,35.0,14.0,24.0
2019-01-07-18,12.0,31.0,16.0,24.0
2019-01-07-19,14.0,31.0,23.0,26.0
2019-01-07-20,19.0,29.0,22.0,27.0
2019-01-07-21,16.0,24.0,24.0,30.0
2019-01-07-22,13.0,22.0,27.0,31.0
2019-01-07-23,10.0,23.0,29.0,32.0
2019-01-08-00,11.0,23.0,30.0,32.0
2019-01-08-01,9.0,23.0,30.0,34.0
2019-01-08-02,7.0,24.0,30.0,38.0
2019-01-08-03,6.0,22.0,32.0,38.0
2019-01-08-04,6.0,24.0,30.0,40.0
2019-01-08-05,7.0,25.0,30.0,42.0
2019-01-08-06,6.0,27.0,34.0,45.0
2019-01-08-07,6.0,29.0,35.0,52.0
2019-01-08-08,6.0,33.0,32.0,50.0
2019-01-08-09,7.0,36.0,32.0,41.0
2019-01-08-10,7.0,37.0,26.0,34.0
2019-01-08-11,7.0,45.0,19.0,31.0
2019-01-08-12,6.0,55.0,16.0,29.0
2019-01-08-13,7.0,63.0,15.0,23.0
2019-01-08-14,6.0,63.0,14.0,22.0
2019-01-08-15,7.0,60.0,14.0,25.0
2019-01-08-16,9.0,72.0,13.0,25.0
2019-01-08-17,10.0,105.0,12.0,19.0
2019-01-08-18,9.0,145.0,12.0,12.0
2019-01-08-19,15.0,129.0,12.0,9.0
2019-01-08-20,17.0,93.0,11.0,9.0
2019-01-08-21,19.0,62.0,10.0,8.0
2019-01-08-22,18.0,49.0,8.0,6.0
2019-01-08-23,19.0,44.0,7.0,6.0
2019-01-09-00,21.0,41.0,7.0,8.0
2019-01-09-01,21.0,37.0,5.0,8.0
2019-01-09-02,22.0,31.0,5.0,8.0
2019-01-09-03,23.0,26.0,4.0,8.0
2019-01-09-04,23.0,29.0,4.0,7.0
2019-01-09-05,20.0,33.0,6.0,7.0
2019-01-09-06,18.0,28.0,6.0,6.0
2019-01-09-07,14.0,25.0,5.0,5.0
2019-01-09-08,14.0,26.0,8.0,6.0
2019-01-09-09,23.0,28.0,10.0,7.0
2019-01-09-10,23.0,28.0,15.0,7.0
2019-01-09-11,22.0,30.0,21.0,8.0
2019-01-09-12,34.0,28.0,23.0,12.0
2019-01-09-13,41.0,25.0,21.0,14.0
2019-01-09-14,50.0,20.0,19.0,22.0
2019-01-09-15,55.0,16.0,19.0,27.0
2019-01-09-16,62.0,12.0,17.0,27.0
2019-01-09-17,61.0,13.0,18.0,28.0
2019-01-09-18,59.0,14.0,17.0,25.0
2019-01-09-19,62.0,15.0,18.0,26.0
2019-01-09-20,67.0,17.0,17.0,24.0
2019-01-09-21,75.0,14.0,20.0,24.0
2019-01-09-22,70.0,13.0,20.0,21.0
2019-01-09-23,69.0,12.0,19.0,20.0
2019-01-10-00,72.0,13.0,21.0,18.0
2019-01-10-01,68.0,15.0,27.0,18.0
2019-01-10-02,64.0,15.0,28.0,22.0
2019-01-10-03,55.0,14.0,29.0,22.0
2019-01-10-04,54.0,14.0,27.0,21.0
2019-01-10-05,53.0,11.0,26.0,23.0
2019-01-10-06,49.0,11.0,26.0,32.0
2019-01-10-07,54.0,10.0,27.0,38.0
2019-01-10-08,58.0,11.0,27.0,44.0
2019-01-10-09,53.0,13.0,28.0,42.0
2019-01-10-10,60.0,14.0,26.0,47.0
2019-01-10-11,68.0,15.0,26.0,38.0
2019-01-10-12,76.0,17.0,23.0,35.0
2019-01-10-13,82.0,21.0,22.0,34.0
2019-01-10-14,89.0,22.0,25.0,34.0
2019-01-10-15,91.0,23.0,29.0,28.0
2019-01-10-16,93.0,19.0,29.0,25.0
2019-01-10-17,74.0,19.0,25.0,27.0
2019-01-10-18,92.0,20.0,26.0,23.0
2019-01-10-19,103.0,21.0,29.0,21.0
2019-01-10-20,121.0,19.0,32.0,23.0
2019-01-10-21,115.0,17.0,35.0,24.0
2019-01-10-22,126.0,16.0,37.0,24.0
2019-01-10-23,128.0,16.0,38.0,26.0
2019-01-11-00,152.0,15.0,35.0,24.0
2019-01-11-01,162.0,16.0,36.0,26.0
2019-01-11-02,139.0,15.0,37.0,29.0
2019-01-11-03,105.0,13.0,36.0,33.0
2019-01-11-04,90.0,14.0,34.0,36.0
2019-01-11-05,75.0,14.0,34.0,39.0
2019-01-11-06,67.0,13.0,33.0,44.0
2019-01-11-07,65.0,12.0,32.0,48.0
2019-01-11-08,70.0,11.0,34.0,49.0
2019-01-11-09,82.0,12.0,36.0,48.0
2019-01-11-10,78.0,12.0,37.0,56.0
2019-01-11-11,71.0,14.0,39.0,57.0
2019-01-11-12,80.0,15.0,39.0,58.0
2019-01-11-13,79.0,15.0,37.0,58.0
2019-01-11-14,80.0,18.0,31.0,60.0
2019-01-11-15,79.0,18.0,39.0,65.0
2019-01-11-16,82.0,22.0,43.0,51.0
2019-01-11-17,82.0,22.0,35.0,42.0
2019-01-11-18,89.0,20.0,34.0,38.0
2019-01-11-19,97.0,19.0,35.0,42.0
2019-01-11-20,116.0,17.0,35.0,49.0
2019-01-11-21,158.0,17.0,35.0,45.0
2019-01-11-22,192.0,14.0,35.0,44.0
2019-01-11-23,216.0,14.0,34.0,37.0
2019-01-12-00,195.0,12.0,35.0,23.0
2019-01-12-01,164.0,14.0,33.0,16.0
2019-01-12-02,157.0,14.0,34.0,14.0
2019-01-12-03,160.0,17.0,39.0,14.0
2019-01-12-04,171.0,17.0,40.0,17.0
2019-01-12-05,170.0,18.0,40.0,23.0
2019-01-12-06,158.0,22.0,39.0,16.0
2019-01-12-07,127.0,26.0,40.0,17.0
2019-01-12-08,112.0,28.0,37.0,22.0
2019-01-12-09,105.0,33.0,36.0,33.0
2019-01-12-10,101.0,38.0,35.0,43.0
2019-01-12-11,107.0,44.0,32.0,42.0
2019-01-12-12,112.0,46.0,31.0,44.0
2019-01-12-13,116.0,43.0,22.0,58.0
2019-01-12-14,123.0,49.0,10.0,64.0
2019-01-12-15,138.0,58.0,7.0,57.0
2019-01-12-16,164.0,57.0,7.0,53.0
2019-01-12-17,205.0,55.0,8.0,37.0
2019-01-12-18,269.0,58.0,9.0,25.0
2019-01-12-19,335.0,67.0,10.0,20.0
2019-01-12-20,423.0,66.0,13.0,20.0
2019-01-12-21,455.0,62.0,15.0,17.0
2019-01-12-22,456.0,61.0,17.0,16.0
2019-01-12-23,447.0,57.0,16.0,18.0
2019-01-13-00,430.0,57.0,16.0,16.0
2019-01-13-01,408.0,58.0,13.0,18.0
2019-01-13-02,383.0,58.0,13.0,21.0
2019-01-13-03,352.0,61.0,14.0,23.0
2019-01-13-04,317.0,63.0,15.0,19.0
2019-01-13-05,245.0,65.0,16.0,16.0
2019-01-13-06,188.0,64.0,20.0,14.0
2019-01-13-07,142.0,62.0,23.0,14.0
2019-01-13-08,88.0,63.0,25.0,13.0
2019-01-13-09,52.0,62.0,26.0,17.0
2019-01-13-10,28.0,65.0,29.0,21.0
2019-01-13-11,22.0,78.0,31.0,24.0
2019-01-13-12,18.0,85.0,31.0,27.0
2019-01-13-13,13.0,90.0,32.0,26.0
2019-01-13-14,12.0,90.0,37.0,29.0
2019-01-13-15,9.0,83.0,40.0,30.0
2019-01-13-16,17.0,80.0,36.0,29.0
2019-01-13-17,27.0,81.0,32.0,28.0
2019-01-13-18,51.0,84.0,29.0,29.0
2019-01-13-19,77.0,88.0,29.0,29.0
2019-01-13-20,98.0,95.0,28.0,31.0
2019-01-13-21,109.0,102.0,27.0,28.0
2019-01-13-22,118.0,105.0,23.0,24.0
2019-01-13-23,147.0,103.0,22.0,23.0
2019-01-14-00,163.0,102.0,18.0,25.0
2019-01-14-01,174.0,99.0,19.0,30.0
2019-01-14-02,162.0,94.0,21.0,30.0
2019-01-14-03,140.0,91.0,20.0,28.0
2019-01-14-04,127.0,88.0,22.0,24.0
2019-01-14-05,118.0,89.0,26.0,24.0
2019-01-14-06,113.0,88.0,27.0,25.0
2019-01-14-07,91.0,85.0,24.0,23.0
2019-01-14-08,69.0,86.0,24.0,21.0
2019-01-14-09,69.0,94.0,26.0,17.0
2019-01-14-10,92.0,93.0,27.0,13.0
2019-01-14-11,109.0,84.0,27.0,10.0
2019-01-14-12,128.0,71.0,27.0,9.0
2019-01-14-13,155.0,57.0,26.0,12.0
2019-01-14-14,167.0,45.0,29.0,10.0
2019-01-14-15,186.0,40.0,32.0,14.0
2019-01-14-16,195.0,39.0,35.0,18.0
2019-01-14-17,200.0,43.0,39.0,23.0
2019-01-14-18,146.0,48.0,41.0,27.0
2019-01-14-19,55.0,57.0,43.0,30.0
2019-01-14-20,27.0,61.0,46.0,34.0
2019-01-14-21,10.0,64.0,43.0,36.0
2019-01-14-22,11.0,60.0,42.0,39.0
2019-01-14-23,10.0,61.0,41.0,40.0
2019-01-15-00,9.0,64.0,40.0,36.0
2019-01-15-01,9.0,68.0,38.0,31.0
2019-01-15-02,5.0,71.0,40.0,32.0
2019-01-15-03,4.0,74.0,36.0,31.0
2019-01-15-04,6.0,78.0,36.0,30.0
2019-01-15-05,5.0,80.0,34.0,28.0
2019-01-15-06,6.0,85.0,34.0,26.0
2019-01-15-07,4.0,92.0,33.0,26.0
2019-01-15-08,7.0,92.0,32.0,25.0
2019-01-15-09,6.0,88.0,34.0,29.0
2019-01-15-10,6.0,94.0,34.0,34.0
2019-01-15-11,6.0,103.0,32.0,38.0
2019-01-15-12,8.0,110.0,30.0,33.0
2019-01-15-13,6.0,135.0,36.0,28.0
2019-01-15-14,6.0,158.0,33.0,28.0
2019-01-15-15,6.0,169.0,32.0,27.0
2019-01-15-16,7.0,155.0,32.0,29.0
2019-01-15-17,7.0,161.0,35.0,33.0
2019-01-15-18,10.0,185.0,27.0,41.0
2019-01-15-19,10.0,162.0,20.0,42.0
2019-01-15-20,14.0,152.0,12.0,37.0
2019-01-15-21,18.0,90.0,8.0,36.0
2019-01-15-22,19.0,38.0,7.0,24.0
2019-01-15-23,20.0,28.0,8.0,15.0
2019-01-16-00,24.0,23.0,7.0,11.0
2019-01-16-01,29.0,18.0,7.0,10.0
2019-01-16-02,36.0,16.0,9.0,7.0
2019-01-16-03,37.0,15.0,9.0,6.0
2019-01-16-04,38.0,23.0,9.0,6.0
2019-01-16-05,39.0,16.0,9.0,7.0
2019-01-16-06,38.0,15.0,10.0,10.0
2019-01-16-07,32.0,18.0,10.0,12.0
2019-01-16-08,34.0,20.0,9.0,13.0
2019-01-16-09,32.0,25.0,11.0,14.0
