2016,47201140,201,SPM ,UG/M3 , 4, 1,  13,  14,  20,  17,  17,  18,  15,  24,  21,  21,  21,  20,  16,  15,  15,  14,  12,  12,  12,  15,  14,  14,  16,  14
2016,47201140,201,SPM ,UG/M3 , 4, 2,  17,  18,  21,  17,  17,  20,  29,  33,  32,  32,  29,  29,  30,  39,  39,  43,  45,  45,  45,  42,  45,  47,  44,  47
2016,47201140,201,SPM ,UG/M3 , 4, 3,  44,  42,  42,  41,  41,  41,  41,  43,  42,  45,  37,  33,  31,  28,  30,  28,  24,  25,  24,  22,  21,  24,  25,  23
2016,47201140,201,SPM ,UG/M3 , 4, 4,  23,  18,  23,  25,  26,  27,  27,  28,  29,  29,  27,  31,  37,  36,  28,  11,  12,  16,  21,  20,  18,  20,  19,  24
2016,47201140,201,SPM ,UG/M3 , 4, 5,  17,  20,  21,  20,  20,  25,  32,  34,  31,  33,  36,  32,  31,  27,  26,  23,  24,  23,  24,  25,  28,  29,  25,  25
2016,47201140,201,SPM ,UG/M3 , 4, 6,  23,  23,  22,  19,  15,  19,  18,  22,  18,  21,  15,  16,  14,  14,  15,  16,  21,  22,  28,  29,  28,  28,  32,  33
2016,47201140,201,SPM ,UG/M3 , 4, 7,  34,  31,  29,  29,  30,  32,  32,  32,  32,  32,  29,  32,  27,  31,  29,  26,  31,  34,  36,  34,  33,  33,  31,  29
2016,47201140,201,SPM ,UG/M3 , 4, 8,  31,  28,  31,  29,  35,  35,  39,  32,  35,  34,  35,  34,  34,  34,  30,  33,  33,  33,  31,  26,  12,  10,   8,  10
2016,47201140,201,SPM ,UG/M3 , 4, 9,   6,   5,   7,   2,   7,   9,  12,  12,  11,  23,  17,  13,  18,  12,  14,   9,   8,   8,  23,  24,  14,  14,  16,  17
2016,47201140,201,SPM ,UG/M3 , 4,10,  19,  19,  17,  10,  29,  32,  51,  54,  45,  41,  39,  37,  27,  28,  29,  18,  14,  15,  15,  15,  13,   9,   7,   5
2016,47201140,201,SPM ,UG/M3 , 4,11,   6,   6,   8,   9,  12,  12,  10,  13,  13,   9,   9,   8,  11,  11,  12,  15,  14,  16,  12,  16,  14,  16,  17,  13
2016,47201140,201,SPM ,UG/M3 , 4,12,  17,  14,  16,  13,  15,  13,  17,  18,  18,   9,  12,  16,  12,  12,  15,  17,  20,  18,  17,  23,  20,  20,  21,  18
2016,47201140,201,SPM ,UG/M3 , 4,13,  16,  14,  15,  15,  13,  14,  13,  12,  15,  13,  12,  12,   9,  23,  20,  18,  20,  34,  34,  41,  34,  27,  31,  31
2016,47201140,201,SPM ,UG/M3 , 4,14,  21,  16,  18,  17,  22,  18,  17,  15,  20,  17,  16,  13,  16,  16,  16,  17,  19,  20,  21,  25,  25,  27,  25,  26
2016,47201140,201,SPM ,UG/M3 , 4,15,  26,  22,  24,  30,  28,  27,  40,  33,  38,  40,  46,  47,  46,  45,  48,  51,  49,  56,  52,  53,  46,  31,  44,  46
2016,47201140,201,SPM ,UG/M3 , 4,16,  41,  44,  44,  45,  38,  34,  35,  41,  42,  46,  45,  43,  42,  40,  42,  40,  41,  43,  47,  44,  48,  47,  47,  47
2016,47201140,201,SPM ,UG/M3 , 4,17,  45,  43,  47,  44,  46,  41,  39,  41,  41,  33,  40,  39,  37,  32,  37,  31,  31,  28,  27,  28,  24,  26,  33,  31
2016,47201140,201,SPM ,UG/M3 , 4,18,  31,  33,  32,  31,  32,  32,  43,  39,  35,  25,  20,  24,  21,  27,  29,  35,  32,  23,  29,  27,  25,  20,  18,  19
2016,47201140,201,SPM ,UG/M3 , 4,19,  18,  18,  20,  23,  25,  23,  25,  22,  22,  22,  28,  21,  18,  19,  20,  24,  45,  34,  29,  29,  28,  30,  27,  24
2016,47201140,201,SPM ,UG/M3 , 4,20,  22,  17,  18,  17,  23,  24,  23,  23,  22,  24,  23,  32,  33,  30,  26,  25,  30,  32,  29,  32,  33,  30,  33,  30
2016,47201140,201,SPM ,UG/M3 , 4,21,  32,  35,  34,  35,  34,  37,  35,  37,  34,  32,  31,  28,  28,  29,  28,  30,  34,  33,  39,  37,  38,  37,  40,  35
2016,47201140,201,SPM ,UG/M3 , 4,22,  39,  36,  33,  37,  35,  30,  30,  27,  22,  24,  21,  20,  24,  22,  16,  17,  15,  21,  21,  30,  29,  30,  24,  20
2016,47201140,201,SPM ,UG/M3 , 4,23,  23,  25,  25,  27,  21,  27,  27,  31,  27,  22,  24,  24,  23,  20,  23,  27,  26,  28,  30,  29,  30,  24,  22,  17
2016,47201140,201,SPM ,UG/M3 , 4,24,  17,  18,  15,  15,  16,  16,  14,  12,  19,  17,  16,  18,  16,  19,  21,  21,  22,  24,  25,  22,  28,  22,  19,  14
2016,47201140,201,SPM ,UG/M3 , 4,25,  10,  10,   9,  17,  12,  12,  13,  17,  19,  14,  19,  19,  18,  20,  11,  14,  17,  18,  13,  16,  12,  16,  13,  16
2016,47201140,201,SPM ,UG/M3 , 4,26,  14,  14,  15,  13,  12,  16,  21,  18,  22,  19,  26,  25,  21,  25,  24,  18,  20,  23,  21,  21,  21,  20,  19,  18
2016,47201140,201,SPM ,UG/M3 , 4,27,  16,  17,  17,  19,  18,  22,  20,  23,  21,  24,  22,  24,  26,  26,  28,  31,  30,  30,  25,  29,  33,  28,  27,  24
2016,47201140,201,SPM ,UG/M3 , 4,28,  21,  17,  22,  25,  37,  21,  26,  33,  38,  42,  42,  43,  37,  41,  44,  45,  56,  48,  36,  25,  28,  29,  30,  28
