測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2019,47201140,201,NOX ,PPB   , 4, 1,   3,   3,   3,   2,   2,   3,   7,  10,   9,  12,   8,   9,   8,   8,   7,   8,   8,   9,   8,   8,   9,   9,   8,   4
2019,47201140,201,NOX ,PPB   , 4, 2,   4,   3,   4,   4,   4,   4,  10,  16,  14,   7,   8,   5,   5,   5,   5,   5,   6,   6,   7,   7,   6,   7,   7,   6
2019,47201140,201,NOX ,PPB   , 4, 3,9999,   3,   2,   3,   4,   5,   9,  22,  17,  14,  10,   7,   7,   8,   8,  10,   9,  12,  15,  13,  10,  10,   7,   7
2019,47201140,201,NOX ,PPB   , 4, 4,   6,   5,   5,   5,   4,   5,  10,  18,  11,  10,   7,   6,   5,   6,   3,   5,   5,   6,   4,   4,   3,   3,   2,   1
2019,47201140,201,NOX ,PPB   , 4, 5,   1,   1,   1,   1,   1,   1,   2,   3,   3,   3,   2,   2,   2,   5,   6,  10,  13,  16,  15,  10,  11,  18,  12,  10
2019,47201140,201,NOX ,PPB   , 4, 6,   7,   8,   9,   9,   8,  18,  28,  35,  25,  15,  17,  14,   7,   5,   7,   7,   8,  15,  11,  14,  14,   7,   4,   4
2019,47201140,201,NOX ,PPB   , 4, 7,   6,   3,   4,   5,   5,   6,  10,  10,   5,   5,   6,   6,   4,   4,   4,   5,   5,   5,   5,   7,   8,   6,   6,   4
2019,47201140,201,NOX ,PPB   , 4, 8,   3,   2,   1,   2,   4,   4,  14,  24,  20,  22,  16,  11,   8,   9,  15,  12,  18,   4,   6,   4,   4,   3,   2,   2
2019,47201140,201,NOX ,PPB   , 4, 9,   2,   2,   1,   2,   2,   3,   4,   6,   5,   3,   3,   3,   3,   3,   3,   3,   3,   3,   2,   2,   2,   1,   1,   1
2019,47201140,201,NOX ,PPB   , 4,10,9999,   1,   1,   1,   1,   1,   1,   3,   7,   8,   9,   9,  14,  15,  17,  11,  10,  11,  11,  11,   9,  11,   5,   4
2019,47201140,201,NOX ,PPB   , 4,11,   3,   2,   4,   2,   2,   4,   8,  12,  44,  23,   7,   8,   7,  10,   5,   6,  15,  14,  16,  12,  12,   6,   4,   3
