測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2019,47201140,201,NO2 ,PPB   , 4, 1,   3,   3,   3,   2,   2,   3,   5,   8,   8,   9,   6,   7,   6,   6,   5,   6,   6,   7,   7,   7,   8,   8,   7,   4
2019,47201140,201,NO2 ,PPB   , 4, 2,   4,   3,   4,   4,   4,   4,   9,  14,  11,   6,   6,   4,   4,   4,   4,   4,   5,   5,   6,   7,   6,   7,   7,   6
2019,47201140,201,NO2 ,PPB   , 4, 3,9999,   3,   2,   3,   4,   5,   8,  17,  15,  12,   9,   6,   6,   7,   7,   9,   8,  11,  13,  12,  10,   9,   7,   7
2019,47201140,201,NO2 ,PPB   , 4, 4,   6,   5,   5,   5,   4,   5,  10,  17,  10,   9,   6,   5,   4,   5,   3,   4,   4,   5,   4,   4,   3,   3,   2,   1
2019,47201140,201,NO2 ,PPB   , 4, 5,   1,   1,   1,   1,   1,   1,   2,   3,   3,   3,   2,   2,   2,   4,   5,   9,  11,  14,  13,   9,  10,  16,  12,  10
2019,47201140,201,NO2 ,PPB   , 4, 6,   7,   8,   9,   9,   8,  17,  23,  25,  20,  12,  14,  11,   6,   4,   6,   6,   7,  12,  10,  13,  13,   7,   4,   4
2019,47201140,201,NO2 ,PPB   , 4, 7,   6,   3,   4,   5,   5,   6,   9,   9,   4,   4,   2,   4,   3,   3,   3,   4,   4,   4,   4,   6,   7,   5,   6,   4
2019,47201140,201,NO2 ,PPB   , 4, 8,   3,   2,   1,   2,   4,   4,  13,  21,  16,  16,  13,   9,   6,   8,  13,  10,  15,   4,   6,   4,   4,   3,   2,   2
2019,47201140,201,NO2 ,PPB   , 4, 9,   2,   2,   1,   2,   2,   3,   4,   6,   4,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   1,   1,   1
2019,47201140,201,NO2 ,PPB   , 4,10,9999,   1,   1,   1,   1,   1,   1,   2,   4,   4,   4,   6,  11,  12,  14,   9,   8,   8,   9,   9,   7,   8,   4,   4
2019,47201140,201,NO2 ,PPB   , 4,11,   3,   2,   4,   2,   2,   4,   7,  10,  25,  19,   6,   7,   6,   9,   4,   5,  12,  12,  13,  11,  11,   5,   4,   3
2019,47201140,201,NO2 ,PPB   , 4,12,   3,   2,   2,   3,   3,   4,   6,  10,  16,   9,   7,   6,   6,   5,   6,   7,   7,  10,   8,   6,   8,   7,   6,   4
2019,47201140,201,NO2 ,PPB   , 4,13,   3,   4,   7,   4,   4,   5,  10,  10,  11,   9,   7,   5,   4,   4,   3,   3,   4,   4,   4,   5,   4,   3,   2,   2
2019,47201140,201,NO2 ,PPB   , 4,14,   2,   1,   1,   1,   1,   1,   2,   2,   2,   2,   3,   2,   1,   1,   2,   2,   1,   2,   3,   4,   5,   5,   5,   4
2019,47201140,201,NO2 ,PPB   , 4,15,   3,   3,   1,   1,   1,   2,   6,   9,   6,  12,   9,   7,   6,   5,   5,   6,   7,   8,  11,  10,   7,   7,   6,   7
2019,47201140,201,NO2 ,PPB   , 4,16,   7,   6,   6,   5,   3,   2,   6,  11,   8,   5,   6,   7,   6,   5,   6,   6,   5,   4,   4,   4,   3,   2,   2,   1
2019,47201140,201,NO2 ,PPB   , 4,17,9999,   1,   1,   2,   2,   4,  10,  12,  10,   7,   6,   6,   4,   6,   8,   7,   8,  10,   9,   7,   6,   7,   5,   4
2019,47201140,201,NO2 ,PPB   , 4,18,   5,   5,   6,   8,   9,  11,  15,  20,  17,  14,  11,  12,  13,   8,   8,   7,  12,  16,  11,  12,   6,   9,  13,   8
2019,47201140,201,NO2 ,PPB   , 4,19,   6,   6,   4,   5,   4,   4,  11,  17,   9,   3,   2,   2,   2,   2,   3,   3,   4,   4,   5,   5,   5,   4,   2,   2
2019,47201140,201,NO2 ,PPB   , 4,20,   1,   1,   1,   2,   2,   2,   4,   5,   5,   5,   4,   4,   4,   4,   4,   4,   4,   3,   3,   4,   3,   3,   2,   2
2019,47201140,201,NO2 ,PPB   , 4,21,   2,   2,   1,   2,   2,   5,   5,   5,   7,   8,   5,   3,   3,   3,   2,   3,   4,   3,   5,   6,   4,   4,   3,   3
2019,47201140,201,NO2 ,PPB   , 4,22,   2,   2,   2,   1,   2,   2,   5,   6,   5,   4,   4,   4,   3,   3,   3,   4,   4,   4,   4,   4,   3,   3,   2,   2
2019,47201140,201,NO2 ,PPB   , 4,23,   1,   1,   1,   1,   1,   1,   2,   3,   3,   3,   3,   2,   2,   2,   3,   2,   2,   3,   3,   3,   2,   2,   2,   1
2019,47201140,201,NO2 ,PPB   , 4,24,9999,   1,   1,   1,   1,   1,   2,   3,   3,   2,   2,   2,   2,   2,   4,   2,   1,   2,   2,   2,   1,   1,   1,   1
2019,47201140,201,NO2 ,PPB   , 4,25,   1,   1,   1,   1,   1,   1,   2,   3,   3,   2,   3,   3,   2,   2,   2,   3,   2,   2,   2,   3,   2,   2,   1,   1
2019,47201140,201,NO2 ,PPB   , 4,26,   2,   2,   2,   4,   4,   4,  10,  14,  12,  13,  10,   6,   4,   6,   6,   7,   6,   7,   7,   8,   5,   5,   4,   3
2019,47201140,201,NO2 ,PPB   , 4,27,   4,   4,   3,   3,   3,   2,   4,   6,   6,   7,   9,   8,   6,   7,   8,   4,   6,   6,   4,   4,   4,   4,   3,   2
2019,47201140,201,NO2 ,PPB   , 4,28,   2,   2,   2,   2,   2,   2,   3,   3,   4,   4,   4,   3,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   1,   1
2019,47201140,201,NO2 ,PPB   , 4,29,   1,   0,   0,   1,   1,   1,   2,   2,   2,   2,   1,   1,   1,   2,   1,   2,   2,   2,   2,   2,   2,   1,   1,   1
2019,47201140,201,NO2 ,PPB   , 4,30,   1,   1,   2,   1,   1,   1,   1,   2,   2,   3,   3,   2,   1,   1,   2,   2,   2,   2,   2,   1,   2,   2,   1,   1
2019,47201140,201,NO2 ,PPB   , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
