測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2019,47201140,201,OX  ,PPB   , 4, 1,  55,  53,  55,  56,  58,  58,  57,  55,  52,  50,  52,  51,  53,  50,  49,  50,  52,  53,  54,  52,  51,  48,  48,  52
2019,47201140,201,OX  ,PPB   , 4, 2,  51,9999,  50,  52,  53,  54,  50,  46,  51,  58,  59,  62,  63,  63,  61,  61,  62,  63,  61,  61,  62,  61,  60,  61
2019,47201140,201,OX  ,PPB   , 4, 3,  64,  67,  67,  66,  63,  61,  60,  53,  54,  62,  67,  73,  73,  72,  72,  68,  66,  66,  69,  71,  71,  70,  71,  74
2019,47201140,201,OX  ,PPB   , 4, 4,  74,  73,  69,  65,  66,  68,  63,  55,  67,  71,  76,  76,  72,  70,  71,  69,  66,  65,  65,  63,  60,  58,  61,  62
2019,47201140,201,OX  ,PPB   , 4, 5,  61,  59,  59,  58,  58,  57,  57,  53,  53,  51,  52,  52,  51,  46,  44,  46,  49,  49,  52,  54,  51,  47,  45,  48
2019,47201140,201,OX  ,PPB   , 4, 6,  51,  48,  46,  39,  39,  14,   9,  16,  37,  49,  48,  54,  61,  58,  57,  54,  53,  47,  47,  43,  41,  46,  46,  46
2019,47201140,201,OX  ,PPB   , 4, 7,  40,  44,  41,  37,  33,  31,  27,  35,  45,  45,  45,  46,  45,  43,  41,  38,  37,  36,  36,  34,  34,  35,  39,  45
2019,47201140,201,OX  ,PPB   , 4, 8,  46,  46,  47,  43,  41,  43,  37,  39,  48,  52,  58,  62,  63,  65,  62,  64,  58,  74,  70,  73,  70,  62,  60,  59
2019,47201140,201,OX  ,PPB   , 4, 9,  56,9999,  57,  57,  56,  52,  49,  45,  48,  46,  43,  39,  37,  34,  33,  33,  31,  29,  29,  28,  28,  28,  28,  27
2019,47201140,201,OX  ,PPB   , 4,10,  25,  25,  23,  20,  17,  16,  16,  15,  13,  12,  11,  14,  30,  39,  41,  47,  50,  50,  51,  51,  52,  52,  56,  57
