times,馬祖,彭佳嶼,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,金門,梧棲,台中,花蓮,日月潭,澎湖,阿里山,嘉義,玉山,東吉島,七股,成功,永康,台南,台東,高雄,大武,蘭嶼,恆春
2019/2/1 01:00,6.3,999.9,2,3.1,6.4,6.4,3.5,10.2,3.7,3.3,3.8,5.3,999.9,7.2,2.9,6.6,0.2,999.9,1.3,2.3,4.3,999.9,999.9,6.1,5.2,5,3.7,1.8,6,999.9,4.9
2019/2/1 02:00,6.1,999.9,2.5,3.5,5.6,4.8,4.2,10.3,2.7,3.4,1.8,4.7,999.9,7.6,2.8,6.2,1.9,999.9,1,2.4,6.3,999.9,999.9,5.8,4.3,5.2,3.8,3.7,5.4,999.9,5.6
2019/2/1 03:00,6.6,999.9,0.8,2.8,4.8,4.3,3.7,9.7,2.6,2.6,2.5,5.4,999.9,9.3,2.5,5.6,1.4,999.9,1.3,2,5.5,999.9,999.9,6.3,3.9,4.6,4.8,1.7,5.6,999.9,6
2019/2/1 04:00,5.6,999.9,1.8,3.2,5,5.8,4.6,10,3.1,3.4,2,4.2,999.9,8.5,2.4,5.5,0.7,999.9,0.8,2.4,6.5,999.9,999.9,5.4,4.5,4.4,3,2.3,4.5,999.9,7.3
2019/2/1 05:00,5.7,999.9,1.1,2.7,5.3,4,2.7,9.9,3.6,2.7,1.4,3.5,999.9,8.1,2,6,0.6,999.9,1.9,2.3,8.5,999.9,999.9,4.4,3.9,5.1,1.9,2.1,4.7,999.9,7.8
2019/2/1 06:00,4.7,999.9,1.5,2.6,4,3.9,3.5,9.8,3.6,3.3,2.7,4,999.9,8,1.7,5.2,1.1,999.9,0.8,2.8,6.8,999.9,999.9,5,4.7,4.5,1.3,3.3,4,999.9,7.5
2019/2/1 07:00,5,999.9,1.3,2.5,5.2,4.2,3.4,9.1,3.3,4.1,1.2,3,999.9,8.5,2.2,4.6,0.8,999.9,0.4,2.3,6.3,999.9,999.9,5.1,4.2,4.8,1.6,2,3.5,999.9,7.4
2019/2/1 08:00,4.6,999.9,2.2,3.2,5.9,5,4.3,10.9,3,4.3,1.3,2.4,999.9,8,3.1,2.8,1.7,999.9,1.2,3.1,5.7,999.9,999.9,5,5.7,5.9,0.8,2.3,4,999.9,7.8
2019/2/1 09:00,4.6,999.9,1.4,3.5,5.2,4.6,4.2,9.5,3.2,4.2,0.1,2.5,999.9,11.1,2.4,2.3,1.2,999.9,0.9,2.7,5.2,999.9,999.9,4.8,6.1,5.9,1.6,2.6,3.5,999.9,8.6
2019/2/1 10:00,4.4,999.9,2,4.1,4.7,3.5,3.2,9.1,2.4,4.1,1.8,3.7,999.9,9.5,3.1,1.6,0.7,999.9,1.6,3.4,6.9,999.9,999.9,4.9,6.1,6.8,1.1,2.1,4.3,999.9,7.4
2019/2/1 11:00,4.3,999.9,2.1,2.9,4.7,2,3.2,8.8,2.5,3.5,1.1,3,999.9,10.1,2.8,1.7,1,999.9,0.9,3.3,6.8,999.9,999.9,5.1,6,5.2,1.3,2,4.4,999.9,6.6
2019/2/1 12:00,4.3,999.9,2.5,3.7,5.4,2.9,3,8.2,2.6,4,1.1,3.5,999.9,10.7,2.9,1.9,0.8,999.9,1.3,3.2,5.9,999.9,999.9,5.5,4.7,5.7,1.4,2.1,5.5,999.9,7
2019/2/1 13:00,4.3,999.9,1.4,3,4.8,3.2,3.5,7.3,2.8,3.4,1.1,2.3,999.9,11.5,4.4,2.7,0.4,999.9,0.8,3.8,5.4,999.9,999.9,4,5.9,5.8,1.2,3,3.8,999.9,7.7
2019/2/1 14:00,4.2,999.9,1.8,3.4,6,3,3.6,8.7,2.7,3.7,1,1.3,999.9,8,3.5,2.4,1.4,999.9,1.7,3.8,5,999.9,999.9,4.3,5.1,5.5,0.9,2,4.6,999.9,8.6
