times,馬祖,彭佳嶼,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,金門,梧棲,台中,花蓮,日月潭,澎湖,阿里山,嘉義,玉山,東吉島,七股,成功,永康,台南,台東,高雄,大武,蘭嶼,恆春
2019/5/1 01:00,5,999.9,2.5,1.3,0.9,0.8,1.9,4.8,0.6,1.4,2.2,3.8,999.9,3.7,0.9,3.5,2,999.9,1.9,1,2.5,999.9,999.9,2.2,1.5,2.1,0.1,0,0.1,999.9,2.7
2019/5/1 02:00,4.2,999.9,2.8,0.5,0.8,1.5,0.6,3.7,0.2,1.1,1.5,3.5,999.9,4.3,0.3,3.4,2,999.9,2.9,3.7,4.6,999.9,999.9,1.3,3.1,2.1,0.7,0.9,1.9,999.9,3.1
2019/5/1 03:00,4.3,999.9,0.6,0.2,0.6,0.5,0.6,4.3,0.9,0.7,1.9,3,999.9,3.2,0.8,2.5,1,999.9,3.3,3.1,4.6,999.9,999.9,2.1,2.6,2.2,0.6,0.5,0.8,999.9,2.2
2019/5/1 04:00,3.8,999.9,1.3,1.6,0.9,2.5,1.5,4.2,1.8,1.3,1.7,0.7,999.9,4,1.7,1.1,2.3,999.9,2.8,1.4,6.3,999.9,999.9,0.3,1.7,2.9,1.3,2.6,1.6,999.9,3.6
2019/5/1 05:00,3.9,999.9,3.7,3,1.1,1.4,1.5,7.7,2.1,2.5,1.1,0.6,999.9,2.9,0.6,2.1,2.1,999.9,2,1.9,6.5,999.9,999.9,0.2,2.3,1.6,1.2,2.1,1.8,999.9,2.2
2019/5/1 06:00,3.7,999.9,7.6,4.2,7,7.2,1,6.2,3.5,2.6,0.8,1.2,999.9,1.4,0.2,2.4,2.8,999.9,3.3,2.2,4.2,999.9,999.9,0.5,2.4,2.3,0,2.3,1.6,999.9,0.9
2019/5/1 07:00,3.7,999.9,9.4,2.6,7.4,6.3,2,7.4,2.2,2.5,2.3,2.4,999.9,6.3,2,2.6,1.9,999.9,2,1.2,6,999.9,999.9,0.3,2.2,1.9,0.4,3,0.9,999.9,1.8
2019/5/1 08:00,3.7,999.9,6.7,2.5,5.2,6.5,1.5,6.3,1.9,1.6,4.7,5,999.9,4.1,1.8,1.9,2.2,999.9,2.7,1.9,8.3,999.9,999.9,0,1.3,1.8,1,2,1.8,999.9,2.1
2019/5/1 09:00,3.4,999.9,6.4,3.1,3.4,3.6,1.3,6.2,2.2,2,2.7,5.3,999.9,5.6,0.9,1.1,1.6,999.9,1.6,2.5,12,999.9,999.9,3,1.9,1.3,2.2,0.9,2,999.9,1.9
2019/5/1 10:00,2.5,999.9,6.8,2.2,1.6,5.7,1.4,5.6,2.5,2.5,1.3,4.3,999.9,6.8,1.2,5.1,0.3,999.9,2.1,2.3,9.9,999.9,999.9,4,3.5,3.6,3.2,2.3,1.9,999.9,2.9
2019/5/1 11:00,2.5,999.9,5.7,2.5,4.5,4.9,0.8,6.4,2.6,2.1,2.4,3.7,999.9,5.6,2.2,7,1.2,999.9,2.6,1.6,5,999.9,999.9,5,3.9,3.4,3,2.2,2.2,999.9,2.3
